"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_2"
"A004307","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A006805A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A006855","Migrated from old WRIMS data",5,8,NA,NA,NA,NA,NA,NA
"A006926","Migrated from old WRIMS data",10,5,NA,NA,NA,NA,NA,NA
"A008974","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A009746","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A009774","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A009992","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A010976","Migrated from old WRIMS data",6,7,NA,NA,NA,NA,NA,NA
"A011859","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A011859","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012232","Requested when filed",NA,NA,NA,NA,11,4,NA,NA
"A012483","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A012509","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A012850","Migrated from old WRIMS data",3,12,NA,NA,NA,NA,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A013076","Migrated from old WRIMS data",5,8,NA,NA,NA,NA,NA,NA
"A013105","Requested when filed",6,8,NA,NA,NA,NA,NA,NA
"A013182A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013182A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013221","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A013221","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A013256","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013453","Migrated from old WRIMS data",5,12,NA,NA,NA,NA,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013578","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013578","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013633","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013755","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013863","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013864","Migrated from old WRIMS data",1,12,NA,NA,11,3,NA,NA
"A014043","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014045","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014054","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014064","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014065","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014066","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014066","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014160","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A014215","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014379","Migrated from old WRIMS data",2,12,NA,NA,NA,NA,NA,NA
"A014467","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014467","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014856","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014904","Migrated from old WRIMS data",3,9,NA,NA,NA,NA,NA,NA
"A015075","Migrated from old WRIMS data",4,7,NA,NA,NA,NA,NA,NA
"A015075","Migrated from old WRIMS data",4,7,NA,NA,NA,NA,NA,NA
"A015120","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015120","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015158A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015168","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A015399","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015664C","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015728A","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728A","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
