APPLICATION_NUMBER,effective_date,effective_from_date,effective_to_date
A000042,05/17/1915,09/15/1994,NULL
A000052,06/03/1915,09/15/1994,NULL
A000231,01/13/1916,09/15/1994,NULL
A000232,01/14/1916,09/15/1994,NULL
A000245,02/03/1916,03/22/2017,NULL
A000296,03/31/1916,05/25/2016,NULL
A000420,11/13/1923,04/16/2018,NULL
A000575,01/25/1917,05/05/2022,NULL
A000577,01/25/1917,05/04/2022,NULL
A000753,07/30/1917,09/15/1994,NULL
A000828,11/13/1917,06/28/2011,NULL
A001030,07/27/1918,11/15/2019,NULL
A001036,06/18/1920,05/07/2015,NULL
A001061,06/06/1931,03/11/2005,NULL
A001160,01/24/1919,09/15/1994,NULL
A001164,02/03/1919,04/27/2022,NULL
A001195,02/26/1919,12/04/2018,NULL
A001203,03/05/1919,09/15/1994,NULL
A001222,03/26/1919,09/15/1994,NULL
A001226,12/12/2005,09/15/1994,NULL
A001252,04/21/1919,09/15/1994,NULL
A001270,07/10/1991,09/15/1994,NULL
A001322,06/11/1919,12/19/1995,NULL
A001345,07/03/1919,09/15/1994,NULL
A001389,08/08/1919,09/15/1994,NULL
A001422,09/02/1919,05/25/1999,NULL
A001442F,09/10/1919,05/30/2014,NULL
A001458,10/15/2003,06/09/2023,NULL
A001503,04/29/1926,11/07/2022,NULL
A001505,03/19/2002,09/15/1994,NULL
A001589,02/24/1950,09/15/1994,NULL
A001617,03/20/1934,09/15/1994,NULL
A001624,01/14/1920,09/15/1994,NULL
A001653,02/05/1920,11/09/2015,NULL
A001716,03/09/1920,09/08/2005,NULL
A001719,04/11/1934,09/15/1994,NULL
A001758,04/09/1920,09/15/1994,NULL
A001778,04/17/1975,07/24/2006,NULL
A001853,05/29/1920,09/15/1994,NULL
A001880,06/23/1920,09/15/1994,NULL
A002155,12/27/1920,07/17/2008,NULL
A002176,01/22/1921,09/15/1994,NULL
A002197,02/11/1921,09/15/1994,NULL
A002234,02/28/1921,09/15/1994,NULL
A002267,03/21/1921,04/29/2011,NULL
A002276,03/25/1921,09/15/1994,NULL
A002359,05/26/1921,11/05/2003,NULL
A002437,07/09/1921,09/15/1994,NULL
A002524,08/29/1921,03/12/1998,NULL
A002548,01/07/1947,09/15/1994,NULL
A002624,03/17/1925,09/15/1994,NULL
A002634,11/10/1921,11/02/2012,NULL
A002652B,11/22/1921,09/15/1994,NULL
A002755,03/02/1931,09/15/1994,NULL
A002777,03/06/1922,09/15/1994,NULL
A002833,04/07/1927,08/13/2019,NULL
A002845,05/10/1922,01/30/1995,NULL
A002908,06/27/1922,12/22/2016,NULL
A002914,06/30/1922,09/15/1994,NULL
A002935,07/20/1922,07/10/2015,NULL
A002937,07/21/1922,09/15/1994,NULL
A002944,07/26/1922,11/08/2019,NULL
A002948,07/28/1922,09/15/1994,NULL
A002953,03/19/1924,09/15/1994,NULL
A002977,08/11/1922,09/15/1994,NULL
A003034,09/13/1922,12/29/2010,NULL
A003186,12/18/1922,08/16/2018,NULL
A003290B,07/27/1990,03/28/2017,NULL
A003332,03/27/1923,09/15/1994,NULL
A003431,05/21/1923,12/01/2022,NULL
A003439,01/05/2001,NULL,NULL
A003555,07/30/1925,09/15/1994,NULL
A003601,08/20/1923,09/15/1994,NULL
A003618,08/29/1923,06/20/2006,NULL
A003689,10/24/1923,09/15/1994,NULL
A003725,11/22/1923,09/15/1994,NULL
A003736,05/20/1954,09/15/1994,NULL
A003769,12/22/1923,09/15/1994,NULL
A003828,02/07/1924,04/15/2004,NULL
A003857,02/18/1924,09/15/1994,NULL
A003929,03/28/1924,09/03/2010,NULL
A003969,04/29/1924,09/15/1994,NULL
A003971,04/25/1932,09/15/1994,NULL
A003980,05/08/1924,12/24/2009,NULL
A003982,05/08/1924,01/06/2017,NULL
A004009,04/05/2000,NULL,NULL
A004026,10/05/1928,03/02/2022,NULL
A004048,07/06/2005,09/15/1994,NULL
A004061,03/09/1942,05/11/2009,NULL
A004077,06/11/2018,08/10/2005,NULL
A004110,12/09/1933,04/07/1997,NULL
A004122,05/15/1940,04/11/2018,NULL
A004161,03/31/1928,12/04/2009,NULL
A004252,10/08/1924,11/25/2014,NULL
A004281,10/28/1924,09/15/1994,NULL
A004310,11/07/1924,09/15/1994,NULL
A004320,11/10/1924,09/15/1994,NULL
A004341,11/28/1924,09/15/1994,NULL
A004344,04/10/1934,05/04/2012,NULL
A004372,12/15/1924,06/24/2013,NULL
A004435,01/28/1925,09/15/1994,NULL
A004455,02/11/1925,09/15/1994,NULL
A004501,04/19/1937,09/15/1994,NULL
A004520,02/16/1933,04/13/2023,NULL
A004597B,08/20/2004,05/09/2006,NULL
A004598,05/22/1925,09/15/1994,NULL
A004637,06/15/1925,10/13/2023,NULL
A004667,07/01/1925,03/28/2018,NULL
A004781,09/24/1925,04/24/2006,NULL
A004820,10/31/1925,04/14/2023,NULL
A004949,03/11/1926,09/15/1994,NULL
A004979,05/14/1929,10/22/2003,NULL
A004989,01/08/1965,08/11/2003,NULL
A005024,05/18/1926,03/25/2003,NULL
A005064,06/19/1926,09/15/1994,NULL
A005102,07/15/1926,09/15/1994,NULL
A005110,07/17/1926,09/15/1994,NULL
A005126,07/27/1926,03/12/2009,NULL
A005128,07/27/1926,11/04/2003,NULL
A005160A,08/18/1926,11/13/1996,NULL
