APPLICATION_NUMBER,WATER_RIGHT_TYPE
S013748,Statement of Div and Use
C000885,Stockpond
A030740,Appropriative
C000886,Stockpond
A028877,Appropriative
A030471,Appropriative
C000883,Stockpond
C000887,Stockpond
A030471,Appropriative
C001072,Stockpond
D031011R,Registration Domestic
A029096,Appropriative
A029318,Appropriative
A025630,Appropriative
A029852,Appropriative
A030253,Appropriative
A020380,Appropriative
S008232,Statement of Div and Use
A020380,Appropriative
A030610,Appropriative
S002368,Statement of Div and Use
A029334,Appropriative
A030610,Appropriative
A030421,Appropriative
A023771,Appropriative
A030247,Appropriative
S009070,Statement of Div and Use
A030421,Appropriative
A023240,Appropriative
A024278,Appropriative
A029614,Appropriative
A029614,Appropriative
A030675,Appropriative
A030229,Appropriative
A025098,Appropriative
S021308,Statement of Div and Use
A019067,Appropriative
A029073,Appropriative
S016583,Statement of Div and Use
A029391,Appropriative
D030671R,Registration Domestic
A029742,Appropriative
A030247,Appropriative
A026047B,Appropriative
A026047B,Appropriative
D030127R,Registration Domestic
A029426,Appropriative
A024803,Appropriative
S008249,Statement of Div and Use
A029603,Appropriative
A029603,Appropriative
A029603,Appropriative
A029603,Appropriative
A029603,Appropriative
A026823A,Appropriative
A029424,Appropriative
A029424,Appropriative
A029424,Appropriative
A029391,Appropriative
A029603,Appropriative
A029225,Appropriative
A029426,Appropriative
H032522,Registration Irrigation
A025650,Appropriative
A029603,Appropriative
A029026,Appropriative
A026823B,Appropriative
A029225,Appropriative
A029391,Appropriative
A018650,Appropriative
A026754,Appropriative
A026167,Appropriative
A026753,Appropriative
A026755,Appropriative
A029040,Appropriative
A029041,Appropriative
D032214,Registration Domestic
A026167,Appropriative
A026753,Appropriative
A026754,Appropriative
A026755,Appropriative
A029040,Appropriative
A029041,Appropriative
C004004,Stockpond
C000003,Stockpond
A029235,Appropriative
S008403,Statement of Div and Use
A029225,Appropriative
A013510,Appropriative
A024588,Appropriative
A013510,Appropriative
A029426,Appropriative
A029235,Appropriative
A015435A,Appropriative
A015435B,Appropriative
A027796,Appropriative
A017591,Appropriative
S019884,Statement of Div and Use
A026585,Appropriative
A027121,Appropriative
A026754,Appropriative
A017602,Appropriative
S027564,Statement of Div and Use
A026167,Appropriative
A026753,Appropriative
A026754,Appropriative
A026755,Appropriative
A029040,Appropriative
A029041,Appropriative
A026754,Appropriative
S019881,Statement of Div and Use
A030392,Appropriative
A029624,Appropriative
A029624,Appropriative
A020357,Appropriative
A015358,Appropriative
A015775,Appropriative
A020389,Appropriative
S008201,Statement of Div and Use
S008204,Statement of Div and Use
A029624,Appropriative
A029624,Appropriative
A015775,Appropriative
A026127A,Appropriative
L032150,Registration Livestock
A029370,Appropriative
S008200,Statement of Div and Use
A030032,Appropriative
A025580C01,Appropriative
A027389,Appropriative
A014441,Appropriative
A017018,Appropriative
S008203,Statement of Div and Use
A024379,Appropriative
A025294B,Appropriative
A025294A,Appropriative
A027188,Appropriative
A024345A,Appropriative
A029370,Appropriative
A024219A,Appropriative
A029554,Appropriative
A025561,Appropriative
