APPLICATION_NUMBER,WATER_RIGHT_TYPE
A003640,Appropriative
A006400,Appropriative
A009618,Appropriative
A009618,Appropriative
A009647,Appropriative
A010781,Appropriative
A011419,Appropriative
A012489,Appropriative
A012489,Appropriative
A013176,Appropriative
A013176,Appropriative
A014978,Appropriative
A015098,Appropriative
A015098,Appropriative
A015425A,Appropriative
A015425A,Appropriative
A015425B,Appropriative
A015425B,Appropriative
A015520,Appropriative
A015520,Appropriative
A015691,Appropriative
A015691,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015696,Appropriative
A015733,Appropriative
A015733,Appropriative
A015733,Appropriative
A015733,Appropriative
A015799,Appropriative
A015799,Appropriative
A015799,Appropriative
A015799,Appropriative
A015986,Appropriative
A015986,Appropriative
A015986,Appropriative
A015986,Appropriative
A016624,Appropriative
A016624,Appropriative
A018052A,Appropriative
A018052A,Appropriative
A018052B,Appropriative
A018052B,Appropriative
A018457,Appropriative
A018907,Appropriative
A018907,Appropriative
A020242,Appropriative
A020242,Appropriative
A020838,Appropriative
A020838,Appropriative
A021256A,Appropriative
A021256A,Appropriative
A021256B,Appropriative
A021256B,Appropriative
A021396,Appropriative
A021853,Appropriative
A021853,Appropriative
A021853,Appropriative
A021853,Appropriative
A022213,Appropriative
A022213,Appropriative
A022305,Appropriative
A022360,Appropriative
A022571,Appropriative
A022571,Appropriative
A022747,Appropriative
A022747,Appropriative
A022747,Appropriative
A022747,Appropriative
A022870,Appropriative
A022870,Appropriative
A022870,Appropriative
A022870,Appropriative
A023095,Appropriative
A023109,Appropriative
A023120,Appropriative
A023120,Appropriative
A023362,Appropriative
A023377,Appropriative
A023377,Appropriative
A023751,Appropriative
A024186,Appropriative
A024186,Appropriative
A024187,Appropriative
A024187,Appropriative
A024323,Appropriative
A024323,Appropriative
A024324,Appropriative
A024324,Appropriative
A024352A,Appropriative
A024352A,Appropriative
A024352B,Appropriative
A024352B,Appropriative
A024492,Appropriative
A024492,Appropriative
A024524,Appropriative
A024524,Appropriative
A024525,Appropriative
A024525,Appropriative
A024526,Appropriative
A024526,Appropriative
A024766,Appropriative
A024868A,Appropriative
A024868A,Appropriative
A024868A,Appropriative
A024868A,Appropriative
A024868A,Appropriative
A024868A,Appropriative
A024868B,Appropriative
A024868B,Appropriative
A024868B,Appropriative
A024868B,Appropriative
A024868B,Appropriative
A024868B,Appropriative
A024943,Appropriative
A024943,Appropriative
A024943,Appropriative
A024943,Appropriative
A024943,Appropriative
A024943,Appropriative
A025007A,Appropriative
A025007A,Appropriative
A025007A,Appropriative
A025007A,Appropriative
A025007B,Appropriative
A025007B,Appropriative
A025007B,Appropriative
A025007B,Appropriative
A025060,Appropriative
A025060,Appropriative
A025061A,Appropriative
A025061A,Appropriative
A025141,Appropriative
A025147,Appropriative
A025147,Appropriative
A025173,Appropriative
A025764,Appropriative
A025764,Appropriative
A025771,Appropriative
A025771,Appropriative
A026050,Appropriative
A026050,Appropriative
A026926,Appropriative
A027580,Appropriative
A027580,Appropriative
A027580,Appropriative
A027580,Appropriative
A027758,Appropriative
A027758,Appropriative
A027827,Appropriative
A027896,Appropriative
A027896,Appropriative
A028101,Appropriative
A028227,Appropriative
A028227,Appropriative
A028227,Appropriative
A028227,Appropriative
A028233,Appropriative
A028233,Appropriative
A028239,Appropriative
A028300,Appropriative
A028654,Appropriative
A028897,Appropriative
A028904,Appropriative
A028904,Appropriative
A028944,Appropriative
A028944,Appropriative
A028944,Appropriative
A028944,Appropriative
A028944,Appropriative
A028944,Appropriative
A028945,Appropriative
A028945,Appropriative
A028946,Appropriative
A028946,Appropriative
A028947,Appropriative
A028947,Appropriative
A028947,Appropriative
A028947,Appropriative
A028947,Appropriative
A028947,Appropriative
A029192,Appropriative
A029192,Appropriative
A029192,Appropriative
A029192,Appropriative
A029305,Appropriative
A029305,Appropriative
A029305,Appropriative
A029305,Appropriative
A029594,Appropriative
A029594,Appropriative
A029594,Appropriative
A029594,Appropriative
A029645,Appropriative
A029645,Appropriative
A029645,Appropriative
A029645,Appropriative
A029646,Appropriative
A029646,Appropriative
A029672,Appropriative
A029672,Appropriative
A029672,Appropriative
A029672,Appropriative
A029679,Appropriative
A029679,Appropriative
A029711,Appropriative
A029711,Appropriative
A029907,Appropriative
A029907,Appropriative
A029910,Appropriative
A029910,Appropriative
A029911,Appropriative
A029911,Appropriative
A030448,Appropriative
A030448,Appropriative
A030448,Appropriative
A030448,Appropriative
A030449,Appropriative
A030449,Appropriative
A030449,Appropriative
A030449,Appropriative
A030717,Appropriative
A030717,Appropriative
A030718,Appropriative
A030718,Appropriative
A030722,Appropriative
A030722,Appropriative
A030722,Appropriative
A030722,Appropriative
A030808,Appropriative
A030808,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030859,Appropriative
A030860,Appropriative
A030860,Appropriative
A030870,Appropriative
A030870,Appropriative
A030870,Appropriative
A030870,Appropriative
A030994,Appropriative
A030994,Appropriative
A031003,Appropriative
A031003,Appropriative
A031004,Appropriative
A031004,Appropriative
A031133,Appropriative
A031133,Appropriative
A031434,Appropriative
A031434,Appropriative
A031434,Appropriative
A031434,Appropriative
A032696,Appropriative
A032696,Appropriative
C000193,Stockpond
C000194,Stockpond
C000195,Stockpond
C000217,Stockpond
C000667,Stockpond
C000668,Stockpond
C000669,Stockpond
C001302,Stockpond
C001517,Stockpond
C003662,Stockpond
C003663,Stockpond
C003664,Stockpond
C003665,Stockpond
C003666,Stockpond
C003667,Stockpond
C003669,Stockpond
C003670,Stockpond
C003671,Stockpond
C003672,Stockpond
C003975,Stockpond
C003975,Stockpond
C004070,Stockpond
C004070,Stockpond
C005427,Stockpond
C005427,Stockpond
D029504,Registration Domestic
D029504,Registration Domestic
D029590,Registration Domestic
D030428,Registration Domestic
D030428,Registration Domestic
D030689,Registration Domestic
D030689,Registration Domestic
D030704,Registration Domestic
D030704,Registration Domestic
D030705,Registration Domestic
D030705,Registration Domestic
D030709,Registration Domestic
D030709,Registration Domestic
D030713,Registration Domestic
D030713,Registration Domestic
D030714,Registration Domestic
D030714,Registration Domestic
D030719,Registration Domestic
D030719,Registration Domestic
D030723,Registration Domestic
D030723,Registration Domestic
D030742,Registration Domestic
D030742,Registration Domestic
D030767,Registration Domestic
D030767,Registration Domestic
D030768,Registration Domestic
D030768,Registration Domestic
D030768,Registration Domestic
D030768,Registration Domestic
D030773,Registration Domestic
D030773,Registration Domestic
D030773,Registration Domestic
D030773,Registration Domestic
D030774,Registration Domestic
D030774,Registration Domestic
D030778,Registration Domestic
D030778,Registration Domestic
D030784,Registration Domestic
D030784,Registration Domestic
D030785,Registration Domestic
D030785,Registration Domestic
D030786,Registration Domestic
D030786,Registration Domestic
D030793,Registration Domestic
D030793,Registration Domestic
D030819,Registration Domestic
D030819,Registration Domestic
D030819,Registration Domestic
D030819,Registration Domestic
D030822,Registration Domestic
D030822,Registration Domestic
D030850,Registration Domestic
D030850,Registration Domestic
D030862,Registration Domestic
D030862,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030883,Registration Domestic
D030887,Registration Domestic
D030887,Registration Domestic
D030888,Registration Domestic
D030888,Registration Domestic
D030889,Registration Domestic
D030889,Registration Domestic
D030889,Registration Domestic
D030889,Registration Domestic
D030894,Registration Domestic
D030894,Registration Domestic
D030899,Registration Domestic
D030899,Registration Domestic
D030899,Registration Domestic
D030899,Registration Domestic
D030900,Registration Domestic
D030900,Registration Domestic
D030902,Registration Domestic
D030902,Registration Domestic
D030903,Registration Domestic
D030903,Registration Domestic
D030905,Registration Domestic
D030905,Registration Domestic
D030905,Registration Domestic
D030905,Registration Domestic
D030905,Registration Domestic
D030905,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030906,Registration Domestic
D030907,Registration Domestic
D030907,Registration Domestic
D030908,Registration Domestic
D030908,Registration Domestic
D030909,Registration Domestic
D030909,Registration Domestic
D030917,Registration Domestic
D030917,Registration Domestic
D030918,Registration Domestic
D030918,Registration Domestic
D030937,Registration Domestic
D030937,Registration Domestic
D030938,Registration Domestic
D030938,Registration Domestic
D030938,Registration Domestic
D030938,Registration Domestic
D030938,Registration Domestic
D030938,Registration Domestic
D030939,Registration Domestic
D030939,Registration Domestic
D030940,Registration Domestic
D030940,Registration Domestic
D030943,Registration Domestic
