"APPLICATION_NUMBER","WATER_RIGHT_TYPE","PRIORITY_DATE","APPLICATION_RECD_DATE","APPLICATION_ACCEPTANCE_DATE","SUB_TYPE","YEAR_DIVERSION_COMMENCED"
"A004307","Appropriative","","11/07/1924","11/07/1924","",NA
"A006805A","Appropriative","","","09/26/1930","",NA
"A006855","Appropriative","","","12/26/1930","",NA
"A006926","Appropriative","","","03/28/1931","",NA
"A008974","Appropriative","","","05/17/1937","",NA
"A009746","Appropriative","","","10/03/1939","",NA
"A009774","Appropriative","","","11/27/1939","",NA
"A009992","Appropriative","","","08/28/1940","",NA
"A010976","Appropriative","","","02/08/1945","",NA
"A011859","Appropriative","","","05/07/1947","",NA
"A012100","Appropriative","","","09/22/1947","",NA
"A012232","Appropriative","","01/08/1948","01/08/1948","",NA
"A012483","Appropriative","","","04/23/1948","",NA
"A012509","Appropriative","","","05/13/1948","",NA
"A012850","Appropriative","","","12/06/1958","",NA
"A012919A","Appropriative","","","01/28/1949","",NA
"A013076","Appropriative","","","05/09/1949","",NA
"A013105","Appropriative","","05/19/1949","05/19/1949","",NA
"A013182A01","Appropriative","","","06/29/1949","",NA
"A013221","Appropriative","","","07/08/1949","",NA
"A013256","Appropriative","","","07/25/1949","",NA
"A013281B","Appropriative","","","08/08/1949","",NA
"A013453","Appropriative","","","11/09/1949","",NA
"A013539","Appropriative","","","01/12/1950","",NA
"A013578","Appropriative","","","02/10/1950","",NA
"A013633","Appropriative","","03/15/1950","03/15/1950","",NA
"A013716","Appropriative","","","05/02/1950","",NA
"A013755","Appropriative","","","05/24/1950","",NA
"A013863","Appropriative","","","07/25/1950","",NA
"A013864","Appropriative","","","07/25/1950","",NA
"A014043","Appropriative","","","11/13/1950","",NA
"A014045","Appropriative","","","11/13/1950","",NA
"A014054","Appropriative","","","11/14/1950","",NA
"A014064","Appropriative","","","11/22/1950","",NA
"A014065","Appropriative","","","11/22/1950","",NA
"A014066","Appropriative","","","11/22/1950","",NA
"A014160","Appropriative","","","02/13/1951","",NA
"A014215","Appropriative","","","03/26/1951","",NA
"A014379","Appropriative","","","06/29/1951","",NA
"A014467","Appropriative","","","09/06/1951","",NA
"A014856","Appropriative","","","06/12/1952","",NA
"A014904","Appropriative","","","07/10/1952","",NA
"A015075","Appropriative","","","11/06/1952","",NA
"A015120","Appropriative","","","12/15/1952","",NA
"A015158A","Appropriative","01/20/1953","","","",NA
"A015168","Appropriative","","01/21/1953","01/22/1953","",NA
"A015399","Appropriative","","","07/06/1953","",NA
"A015664C","Appropriative","","","12/29/1953","",NA
"A015728A","Appropriative","","","02/16/1954","",NA
"A015743","Appropriative","","","02/23/1954","",NA
"A015760","Appropriative","","","03/05/1954","",NA
"A015984","Appropriative","","","08/06/1954","",NA
"A016106","Appropriative","10/22/1954","10/22/1954","10/22/1954","",NA
"A016308","Appropriative","","","04/11/1955","",NA
"A016416","Appropriative","","","06/13/1955","",NA
"A016440","Appropriative","","","06/24/1955","",NA
"A016443","Appropriative","","06/28/1955","06/28/1955","",NA
"A016457","Appropriative","","07/11/1955","07/11/1955","",NA
"A016472","Appropriative","","","07/19/1955","",NA
"A016545","Appropriative","","","08/23/1955","",NA
"A016973","Appropriative","","","03/27/1956","",NA
"A017081","Appropriative","","","05/09/1956","",NA
"A017091C","Appropriative","","","05/14/1956","",NA
"A017100","Appropriative","","","05/23/1956","",NA
"A017237","Appropriative","","","08/14/1956","",NA
"A017263","Appropriative","","","09/05/1956","",NA
"A017477","Appropriative","","","02/26/1957","",NA
"A017551","Appropriative","","","04/16/1957","",NA
"A017587","Appropriative","","","05/08/1957","",NA
"A017632","Appropriative","","05/29/1957","05/29/1957","",NA
"A017868","Appropriative","","","10/31/1957","",NA
"A017885","Appropriative","","","11/19/1957","",NA
"A017978","Appropriative","","","02/05/1958","",NA
"A018274A","Appropriative","","","08/19/1958","",NA
"A018277","Appropriative","","","08/20/1958","",NA
"A018948","Appropriative","","","08/28/1959","",NA
"A019089","Appropriative","","","11/20/1959","",NA
"A019200","Appropriative","","","01/28/1960","",NA
"A019241","Appropriative","","","02/18/1960","",NA
"A019427","Appropriative","","05/09/1960","05/10/1960","",NA
"A019554","Appropriative","","07/18/1960","07/18/1960","",NA
"A019652","Appropriative","","","08/09/1960","",NA
"A019806","Appropriative","","","10/07/1960","",NA
"A019921","Appropriative","","","01/17/1961","",NA
"A020071","Appropriative","","","04/06/1961","",NA
"A020134","Appropriative","","","05/17/1961","",NA
"A020493","Appropriative","","","11/14/1961","",NA
"A020584","Appropriative","","","02/01/1962","",NA
"A020662","Appropriative","","","03/20/1962","",NA
