APPLICATION_NUMBER,WATER_RIGHT_TYPE
A000026,Appropriative
A001029,Appropriative
A001205,Appropriative
A001983,Appropriative
A002723,Appropriative
A002928,Appropriative
A003184,Appropriative
A003421,Appropriative
A003421,Appropriative
A003421,Appropriative
A003565,Appropriative
A003601,Appropriative
A003633,Appropriative
A004307,Appropriative
A004308,Appropriative
A004612,Appropriative
A004832,Appropriative
A005050,Appropriative
A006464,Appropriative
A006594,Appropriative
A006642,Appropriative
A006805A,Appropriative
A006854,Appropriative
A006854,Appropriative
A006855,Appropriative
A006926,Appropriative
A007006,Appropriative
A007006,Appropriative
A008974,Appropriative
A009376,Appropriative
A009746,Appropriative
A009774,Appropriative
A009832A,Appropriative
A009832B,Appropriative
A009868,Appropriative
A009992,Appropriative
A010795,Appropriative
A010915,Appropriative
A010915,Appropriative
A010976,Appropriative
A011315,Appropriative
A011327,Appropriative
A011383,Appropriative
A011566,Appropriative
A011566,Appropriative
A011846,Appropriative
A011859,Appropriative
A012034,Appropriative
A012100,Appropriative
A012232,Appropriative
A012330,Appropriative
A012452,Appropriative
A012483,Appropriative
A012509,Appropriative
A012510,Appropriative
A012510,Appropriative
A012525,Appropriative
A012773,Appropriative
A012850,Appropriative
A012877,Appropriative
A012877,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919A,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
A012919B,Appropriative
