"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A001029",NA,"",95.5,"Acre-feet per Year"
"A001205",NA,"",343.6,"Acre-feet per Year"
"A001983",NA,"",369.2,"Acre-feet per Year"
"A002723",NA,"",46.7,"Acre-feet per Year"
"A002928",NA,"",18.3,"Acre-feet per Year"
"A003421",NA,"",118.9,"Acre-feet per Year"
"A003565",NA,"",128.3,"Acre-feet per Year"
"A003601",NA,"",27.1,"Acre-feet per Year"
"A003633",NA,"",182,"Acre-feet per Year"
"A004307",NA,"",67.8,"Acre-feet per Year"
"A004308",NA,"",91.3,"Acre-feet per Year"
"A004612",NA,"",41.5,"Acre-feet per Year"
"A004832",NA,"",36.5,"Acre-feet per Year"
"A005050",NA,"",28.7,"Acre-feet per Year"
"A006464",NA,"",86.3,"Acre-feet per Year"
"A006594",NA,"",4908,"Acre-feet per Year"
"A006642",NA,"",365,"Acre-feet per Year"
"A006805A",NA,"",15.2,"Acre-feet per Year"
"A006854",NA,"",29.4,"Acre-feet per Year"
"A006855",NA,"",110.7,"Acre-feet per Year"
"A006926",NA,"",2.6,"Acre-feet per Year"
"A006927",NA,"",72.4,"Acre-feet per Year"
"A007006",NA,"",28,"Acre-feet per Year"
"A008974",NA,"",183.5,"Acre-feet per Year"
"A009746",NA,"",0.3,"Acre-feet per Year"
"A009774",NA,"",0.1,"Acre-feet per Year"
"A009832A",NA,"",43.4,"Acre-feet per Year"
"A009832B",NA,"",159.7,"Acre-feet per Year"
"A009868",NA,"",142,"Acre-feet per Year"
"A009992",NA,"",0.3,"Acre-feet per Year"
"A010795",NA,"",365,"Acre-feet per Year"
"A010915",NA,"",20,"Acre-feet per Year"
"A010976",NA,"",18.2,"Acre-feet per Year"
"A011315",NA,"",30.9,"Acre-feet per Year"
"A011327",NA,"",6.4,"Acre-feet per Year"
"A011383",NA,"",667.8,"Acre-feet per Year"
"A011566",NA,"",18.4,"Acre-feet per Year"
"A011846",NA,"",106.2,"Acre-feet per Year"
"A011859",NA,"",7.1,"Acre-feet per Year"
"A012034",NA,"",2,"Acre-feet per Year"
"A012100",NA,"",11,"Acre-feet per Year"
"A012232",NA,"",96.5,"Acre-feet per Year"
"A012330",NA,"",105.5,"Acre-feet per Year"
"A012452",NA,"",36.9,"Acre-feet per Year"
"A012483",NA,"",131.6,"Acre-feet per Year"
"A012509",NA,"",16.7,"Acre-feet per Year"
"A012510",NA,"",89.7,"Acre-feet per Year"
"A012525",NA,"",21.8,"Acre-feet per Year"
"A012773",NA,"",6.3,"Acre-feet per Year"
"A012850",NA,"",71.2,"Acre-feet per Year"
"A012877",NA,"",14.6,"Acre-feet per Year"
"A012919A",NA,"",160044,"Acre-feet per Year"
"A012919B",NA,"",130500,"Acre-feet per Year"
"A012931",NA,"",9.7,"Acre-feet per Year"
"A012951",NA,"",28,"Acre-feet per Year"
"A012958",NA,"",455.2,"Acre-feet per Year"
"A013030A",NA,"",120,"Acre-feet per Year"
"A013030B",NA,"",179.9,"Acre-feet per Year"
"A013062",NA,"",336,"Acre-feet per Year"
"A013076",NA,"",49.8,"Acre-feet per Year"
"A013097",NA,"",0.4,"Acre-feet per Year"
"A013098",NA,"",135.8,"Acre-feet per Year"
"A013105",NA,"",7.4,"Acre-feet per Year"
"A013126A",NA,"",342.2,"Acre-feet per Year"
"A013126B",NA,"",101.3,"Acre-feet per Year"
"A013135",NA,"",76.2,"Acre-feet per Year"
"A013151",NA,"",87.6,"Acre-feet per Year"
"A013161",NA,"",2.9,"Acre-feet per Year"
"A013163",NA,"",0.9,"Acre-feet per Year"
"A013182A01",NA,"",13,"Acre-feet per Year"
"A013182A02",NA,"",13,"Acre-feet per Year"
"A013182B",NA,"",77.7,"Acre-feet per Year"
"A013217",NA,"",2171.933,"Acre-feet per Year"
"A013221",NA,"",35,"Acre-feet per Year"
"A013256",NA,"",152.7,"Acre-feet per Year"
"A013261",NA,"",51.2,"Acre-feet per Year"
"A013267",NA,"",157.8,"Acre-feet per Year"
"A013268",NA,"",66.1,"Acre-feet per Year"
"A013269",NA,"",14.8,"Acre-feet per Year"
"A013270",NA,"",109.8,"Acre-feet per Year"
"A013277",NA,"",75,"Acre-feet per Year"
"A013281A01",NA,"",199,"Acre-feet per Year"
"A013281A02",NA,"",76.4,"Acre-feet per Year"
"A013281A03",NA,"",70.3,"Acre-feet per Year"
"A013281B",NA,"",20.5,"Acre-feet per Year"
"A013287",NA,"",170.6,"Acre-feet per Year"
"A013288",NA,"",190.2,"Acre-feet per Year"
"A013289",NA,"",46.7,"Acre-feet per Year"
"A013301",NA,"",36.5,"Acre-feet per Year"
"A013317",NA,"",87.6,"Acre-feet per Year"
"A013330",NA,"",11.1,"Acre-feet per Year"
"A013331",NA,"",348.6,"Acre-feet per Year"
"A013359",NA,"",166,"Acre-feet per Year"
"A013376",NA,"",135,"Acre-feet per Year"
"A013384",NA,"",321.2,"Acre-feet per Year"
"A013391",NA,"",63.9,"Acre-feet per Year"
"A013393",NA,"",280.4,"Acre-feet per Year"
"A013406",NA,"",45.4,"Acre-feet per Year"
"A013453",NA,"",76.8,"Acre-feet per Year"
"A013468",NA,"",58.3,"Acre-feet per Year"
"A013474",NA,"",218.7,"Acre-feet per Year"
"A013507",NA,"",2.4,"Acre-feet per Year"
"A013527",NA,"",5.6,"Acre-feet per Year"
"A013528",NA,"",344.9,"Acre-feet per Year"
"A013529",NA,"",110.4,"Acre-feet per Year"
"A013533",NA,"",102.2,"Acre-feet per Year"
"A013539",NA,"",15,"Acre-feet per Year"
"A013557",NA,"",22711.1,"Acre-feet per Year"
"A013578",NA,"",485.1,"Acre-feet per Year"
"A013579",NA,"",82.6,"Acre-feet per Year"
"A013586",NA,"",33.6,"Acre-feet per Year"
"A013633",NA,"",160.6,"Acre-feet per Year"
"A013639",NA,"",170.1,"Acre-feet per Year"
"A013661",NA,"",229.3,"Acre-feet per Year"
"A013684A",NA,"",119.4,"Acre-feet per Year"
"A013684B",NA,"",17.1,"Acre-feet per Year"
"A013695",NA,"",150,"Acre-feet per Year"
"A013706",NA,"",10.7,"Acre-feet per Year"
"A013716",NA,"",50,"Acre-feet per Year"
"A013729",NA,"",101.8,"Acre-feet per Year"
"A013749",NA,"",88.1,"Acre-feet per Year"
"A013753",NA,"",73.3,"Acre-feet per Year"
"A013755",NA,"",86.6,"Acre-feet per Year"
"A013758",NA,"",45.9,"Acre-feet per Year"
"A013789",NA,"",44,"Acre-feet per Year"
"A013810",NA,"",22.4,"Acre-feet per Year"
"A013811",NA,"",118.6,"Acre-feet per Year"
"A013831",NA,"",46.9,"Acre-feet per Year"
"A013832",NA,"",24.2,"Acre-feet per Year"
"A013862",NA,"",51.2,"Acre-feet per Year"
"A013863",NA,"",83.9,"Acre-feet per Year"
"A013864",NA,"",4.3,"Acre-feet per Year"
"A013874",NA,"",259.1,"Acre-feet per Year"
"A013890",NA,"",64,"Acre-feet per Year"
"A013914",NA,"",43,"Acre-feet per Year"
"A013932",NA,"",76.8,"Acre-feet per Year"
"A013933",NA,"",426.5,"Acre-feet per Year"
"A013958",NA,"",12,"Acre-feet per Year"
"A013967",NA,"",28,"Acre-feet per Year"
"A013973",NA,"",62.4,"Acre-feet per Year"
"A013974",NA,"",144.4,"Acre-feet per Year"
"A013975",NA,"",0.5,"Acre-feet per Year"
"A013984",NA,"",128.4,"Acre-feet per Year"
"A013985",NA,"",80.7,"Acre-feet per Year"
"A013987",NA,"",17,"Acre-feet per Year"
"A013988",NA,"",58.7,"Acre-feet per Year"
"A013989",NA,"",34.1,"Acre-feet per Year"
"A014010",NA,"",3.2,"Acre-feet per Year"
"A014030",NA,"",19.5,"Acre-feet per Year"
"A014033",NA,"",348.5,"Acre-feet per Year"
"A014034",NA,"",66.1,"Acre-feet per Year"
"A014043",NA,"",179.1,"Acre-feet per Year"
"A014044A",NA,"",72.5,"Acre-feet per Year"
"A014044B",NA,"",59.7,"Acre-feet per Year"
"A014045",NA,"",20.3,"Acre-feet per Year"
"A014047",NA,"",72.5,"Acre-feet per Year"
"A014048",NA,"",62.4,"Acre-feet per Year"
"A014049",NA,"",174.9,"Acre-feet per Year"
"A014050A",NA,"",3.6,"Acre-feet per Year"
"A014050B",NA,"",32.8,"Acre-feet per Year"
"A014051",NA,"",131.2,"Acre-feet per Year"
"A014054",NA,"",85.3,"Acre-feet per Year"
"A014055",NA,"",251.6,"Acre-feet per Year"
"A014056",NA,"",116.6,"Acre-feet per Year"
"A014061",NA,"",110,"Acre-feet per Year"
"A014064",NA,"",85.3,"Acre-feet per Year"
"A014065",NA,"",330.5,"Acre-feet per Year"
"A014066",NA,"",63.2,"Acre-feet per Year"
"A014067",NA,"",44,"Acre-feet per Year"
"A014068",NA,"",426.5,"Acre-feet per Year"
"A014092",NA,"",7,"Acre-feet per Year"
"A014107",NA,"",30,"Acre-feet per Year"
"A014119",NA,"",8,"Acre-feet per Year"
"A014136",NA,"",76.8,"Acre-feet per Year"
