"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"A012919A",44198.98,36358,36836
"H510424",0,NA,0
"H509523",0,0.05,0.05
"D033083",0,NA,0.04
"H505997",0,0.69,1.04
"H508419",0,NA,NA
"H033072",10.98,NA,NA
"H507877",0,0,0
"H507821",0,0.08,0.08
"H507549",0,0.68,0.83
"H507504",3.79,2.33,2.33
"H506245",0.24,0.15,0.16
"H505809",0,NA,NA
"H505968",0.24,0.24,0.2
"H505765",0,0.12,0.06
"D033025",0,NA,NA
"H503838",0.28,NA,NA
"D030731",6.88,6.54,6.89
"H500800",0.12,0.12,0.12
"H502560",0.04,0.04,0.05
"H500658",3.1,0,0
"H501536",0,NA,0
"H501586",0,0,0
"H501328",0,NA,NA
"H501505",0,0,0
"H500832",0.15,0.14,0.14
"H500889",0.12,0.08,0.05
"H032924",0,NA,3
"H500399",0,0.04,0.04
"H500522",1.4,NA,NA
"H500244",0.23,0.23,0.1
"D032859",0.32,0.27,0.25
"D032762",2.24,2.08,1.99
"D032249",2.17,2,2.45
"D032187",5.64,5.28,4.86
"D032141",0.12,0.1,0.1
"L031415A",0,0.22,0.35
"H032345",1,0.5,0.33
"D032346",1,0.8,0.84
"H032331",12.05,14.01,15.04
"D032314",1,0.67,0.67
"D032313",0,1.8,5.94
"L032279",0,0,0
"L032271",0.08,0.1,0.08
"D032262",2.02,1.63,1.22
"L031422",0,0,0.06
"D032238",1.5,2.07,3.54
"D032041",2,1.77,1.45
"D032206",4.5,4.5,4.33
"L032148",0.33,0.5,0.6
"L032146",0.33,0.29,0.26
"L032147",1,1.5,1.8
"D032143",0,0,0
"D032140",7.1,7.05,7.02
"L032128",2.1,10.5,7.31
"H032131",6.51,6.21,8.34
"D032081",0,NA,NA
"A032115",1.3,0.87,0.52
"D032057",0,0,0
"L032032",0,NA,NA
"L032027",1.2,1.2,0.93
"D032022",3.2,NA,NA
"D032013",0,0,0
"H032009",6.53,1.53,1.02
"L032006",1.26,0.98,1.07
"H031997",15.76,15.32,12.38
"D031947",5,5,5
"L031908",1.93,1.75,3
"L031885",0.06,0.04,0.04
"A031877",19.44,16.23,13.86
"A031870",44.89,48.4,48.05
"A031836",2.96,2.9,2.29
"D031801",4.23,3.28,2.41
"L031764",1.5,1.45,1.1
"D031731",0,NA,NA
"L031669",0,0.01,0.02
"D031668",2.32,2.29,1.87
"D031660",4.5,4.5,3.85
"D031630",5.88,5.88,5.22
"D031627",0,0,0
"L031424",0,0,0.01
"L031607",0.71,0.87,0.58
"L031605",0.71,0.87,0.58
"D031606",0.71,0.87,0.6
"D031603",0,0,0
"D031592",8,6.02,4.01
"D031589",6.78,NA,NA
"L031582",5.5,5.76,4.21
"L031573",0,0.08,0.13
"D031563",0.06,0.08,0.08
"D031542",0.5,0.38,0.25
"L031528",7.7,7.7,5.3
"D031475",0.67,0.5,0.33
"L031457",0,0,0
"A031461",3.35,2.42,2.42
"A031447",0,0,0
"A031435",0,NA,NA
"D031451",2.08,1.94,1.69
"L031423",0,0,0.08
"D031476",0,0,0
"D031477",0.19,0.14,0.09
"D031472",0,0,0
"L031420",0,0.75,1.25
"L031414",4.28,4.7,4.97
"D031427",1.1,1.1,1.1
"D031411",8.07,6.16,4.33
"L031392",1.21,1.45,1.32
"L031393",2.33,2.85,2.58
"L031391",2.77,3.35,3.05
"A031383",11.35,8.9,5.34
"D031380",0.59,0.56,0.56
"D031410",0,0,0
"L031378",0,0,0
"D031376",8,8,7.67
"D031390",2.53,2.55,2.75
"L031353",0.74,0.58,0.66
"L031319",1.48,1.41,1.77
"D031318",1.05,1.09,1.89
"A023869",0,0,0
"A031255",16.23,16.4,13.52
"A031259",17.65,15.13,15.64
"A031183",0,0,0
"D031143",9.43,8.4,8.14
"A031171",8.43,6.9,5.98
"D031146",0.06,0.05,0.03
"D031098",2.1,1.93,1.54
"A031095",10.16,8.59,8.31
"A031050",0,0,0
"D030985",2.31,1.86,1.24
"A031060",8.63,12.47,11.82
"A031059",0.27,0.33,0.22
"D030969",0.96,1.02,0.93
"A030931",1.57,1.65,1.39
"D031005",3.89,3.16,2.71
"D030904",0,0,0
"D030890",0,0,0
"D030863",0,0,0
"D030898",0.17,0.12,0.08
"D030759",0,0,0
"D030760",0.66,0.75,0.76
"D030891",0,0,0
"D030712",0,0.02,0.02
"D030820",10,10,10
"A030745",10.12,8.93,10.12
"D030881",0,0,0
"A030815",9.33,7.28,5.82
"D030732",2.47,2.25,2.3
"D030727",0,0,0
"D030755",0,0,0
"C006052",0,0.33,0.68
"C005522",0,0.67,1.38
"C005521",0.35,0.38,0.48
"C005834",1.34,NA,NA
"C005624",6.34,5.42,6.1
"C005343",0.5,0.55,0.5
"C005165",0.74,0.75,0.62
"C005164",0.73,0.78,0.77
"C005163",1.77,1.6,1.75
"C005162",1.7,1.62,1.68
"C005161",0.23,0.25,0.22
"C005166",0.82,0.95,0.85
"A030564",0,0,0
"A030560",0,0,0
"D030427",0.45,0.46,0.43
"A030412",6.29,6.72,7.32
"A030397",0,0,1
"A030363",8.79,9.07,9.23
"D030346",0.82,0.92,0.9
"A030349",5.21,4.97,5.71
"A030365",0,0,0
"A030364",12.73,0,0
"D030286",0.27,0.27,0.2
"A030282",0,0,0
"D030221",0.96,0.98,0.75
"D030211",0.6,0.6,0.57
"A031094",0,0,0
"A030132",9.89,7.76,8.6
"A030036",7.4,5.68,4.54
"A029995",0,0,0
"A029912",35.34,0,5.8
"A029789",0,0,0
"A029755",24.57,21.25,29
"A029723",6.82,5.58,3.86
"A029719",17.33,19.5,21.67
"A029662",0,0,0
"A029682",103.56,94.02,128.23
"D029650",0,0,0
"A029632",34.46,22.84,15.23
"A029616",134.01,100.5,102.38
"A029595",4.9,6.5,6
"D029572",0,0,0
"A029547",10.34,13.8,15.69
"A029517",0,0,0
"A029480",6.79,6.78,6.89
"A029467",1.26,2.19,1.76
"A029479",3.1,3.1,3.1
"D029448",0,0,0
"A029512",6.39,6.26,8.64
"A029437",0,0,0
"A029419",20.27,24.82,97.42
"A029418",153.93,151.6,111.72
"A029412",0.54,0.54,0.65
"A029411",0.63,0.63,0.48
"A029406",1.03,0.88,0.74
"A029401",6.67,7.5,8.33
"A029372",1.97,1.73,1.46
"A029592",60.67,51.75,44.9
"A029591",1.83,1.68,1.34
"A029338",0,0,0
"A029327",3.5,3.06,3.02
"A029267",0,0,0
"A029203",0,0,0
"A029202",46.57,40.92,36.2
"A029122",1.8,1.57,2.83
"A029108",4.72,3.54,3.74
"A029087",1.23,1.1,0.98
"A029086",0,0,0
"A028927",11.06,16.83,16.62
"A028926",5.21,5.11,5.81
"A028925",0,0,0
"A028886",6,4.5,4.8
"A028855",8.67,9.5,8.83
"A028854",2.58,6.56,6.18
"A028824",17.99,18.5,19.5
"A028790",4.58,4.3,3.9
"A028787",8.3,8.3,8.3
"A028786",0,0,0
"A028738",1.11,1,1.01
"A028715",2.13,2.14,1.99
"A028676",0,0,0
"A028668",0,7881,5254
"A028653",0,0,0.05
"A028633",0.44,0.45,0.45
"A028632",0.5,0.84,0.84
"A028651",0,NA,NA
"A028650",4.2,NA,NA
"A028649",0.41,0.39,0.42
"A028648",0,0.01,0.01
"A028647",0,0.7,0.7
"A028643",2.67,3,4
"A028642",0.57,0.43,0.35
"A028641",0,0,0
"A028640",2.76,2.88,2.43
"A028636",2.66,2.8,2.65
"A028635",0,0,0
"A028320",400.95,329.09,252.69
"A028319",716.7,537.59,410.53
"A028176",31.61,24.12,22.84
"A028127",49,49,39.2
"A028116",10.67,8,5.33
"A027992",3.86,3.1,2.23
"A027955",2.03,3.8,2.53
"A027943",29.66,23.05,20.45
"A027942",0,0,0
"A027941",89.44,100.53,93.13
"A027892",42.99,33.5,56.83
"A027791",31.22,26.56,24.34
"A027596",11.17,12.11,13.48
"A027584",10.66,15.25,19.6
"A027583",39.99,40,38.8
"A027582",111.66,112,106
"A027581",27.33,27.25,27.6
"A027557",14,14,11.33
"A027541",1.7,2.55,2.04
"A027460",0.17,0.13,0.1
"A027440",7.67,5.75,3.83
"A027327",2,3,2
"A027301",0,0,0
"A027177",0,0,0
"A027075",0,0,0
"A027036",0,0,0
"A026938",3.72,2.79,1.87
"A026927",6.68,5.01,3.34
"A026769",0,0,0
"A026672",0.74,0.74,0.74
"A026600",2.3,2.79,2.66
"A026470",0,3440.64,2293.76
"A026413",0.9,0.68,0.45
"A026412",70.67,63.5,58.17
"A026402",38.66,31.5,30.5
"A026250",7.33,6.75,6.2
"A026224",7.67,5.75,3.84
"A026201",0,0,0
"A026184",0.72,0.72,0.66
"A026183",0,0,0
"A026182",0.3,0.45,0.52
"A026181",0.89,0.93,0.76
"A026143",3.59,3.6,3
"A026111",6.67,6.67,4
"A026110",0,0,0
"A026079",1.19,1.15,1.78
"A026055B",0,0,0
"A026055A",0,7,13.67
"A026022B",0,0,1.03
"A026022A",20.17,21.2,21.78
"A026016",0.02,0.01,0.01
"A025888B",0,0,0
"A025888A",0.67,0.5,0.33
"A025887B",8.73,6.55,4.98
"A025887A",56.53,52.05,49.9
"A025850",41.34,41.75,38
"A025823B",0,0,0
"A025823A03",0,0,0
"A025823A02",0,0,0
"A025823A01",2.34,1.75,1.4
"A025822B",0,0.55,3.83
"A025822A",25.02,27.59,21.65
"A025762",10.83,11,8.8
"A025749B",0,0,0
"A025749A",3.47,2.6,3.4
"A025740",8.6,8.6,7.17
"A025694",8.66,6.71,6.59
"A025691",0,88320.43,65063.77
"A025682",24.35,65.54,55.75
"C002936",0,NA,NA
"C002935",0,NA,NA
"A025596",263.5,285.6,287.68
"A025600",34,33.75,32.17
"A025405",1.89,1.9,1.33
"A025394",0,0,0
"A025344",31.02,27.25,20.83
"A025334",8,9,10
"A025282",16.63,16.9,17.75
"A025268",0.44,0.56,0.84
"A025207",0.09,0.09,0.09
"A025201",0.7,0.7,0.7
"A025154",19.81,22.27,19.69
"A025157",0.58,0.44,0.45
"A025123",4.55,6.22,4.15
"A025110",0.19,0.15,0.14
"A025084",0.17,0.16,0.16
"A025070",8.34,6.25,4.17
"A025052",0,0,0.25
"A025032",8,8.25,8.17
