"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_2"
"A001029","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A001205","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A001983","Migrated from old WRIMS data",5,7,NA,NA,NA,NA,NA,NA
"A001983","Migrated from old WRIMS data",5,7,7,4,NA,NA,NA,NA
"A002723","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A002723","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A002928","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A003421","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A003565","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A003601","Migrated from old WRIMS data",6,8,NA,NA,NA,NA,NA,NA
"A003601","Migrated from old WRIMS data",6,8,NA,NA,NA,NA,NA,NA
"A003633","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A004307","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A004308","Requested when filed",6,9,NA,NA,NA,NA,NA,NA
"A004612","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A004832","Migrated from old WRIMS data",6,8,NA,NA,NA,NA,NA,NA
"A005050","Migrated from old WRIMS data",1,12,NA,NA,11,4,NA,NA
"A005050","Migrated from old WRIMS data",1,12,NA,NA,11,4,NA,NA
"A006464","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A006594","Migrated from old WRIMS data",5,10,NA,NA,11,6,NA,NA
"A006642","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A006805A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A006854","Migrated from old WRIMS data",5,7,NA,NA,NA,NA,NA,NA
"A006855","Migrated from old WRIMS data",5,8,NA,NA,NA,NA,NA,NA
"A006926","Migrated from old WRIMS data",10,5,NA,NA,NA,NA,NA,NA
"A006927","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A006927","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A007006","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A008974","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A009746","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A009774","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A009832A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A009832A","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A009832B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A009832B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A009868","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A009992","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A010795","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A010795","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A010795","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A010795","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A010915","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A010915","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A010976","Migrated from old WRIMS data",6,7,NA,NA,NA,NA,NA,NA
"A011315","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A011327","Migrated from old WRIMS data",5,10,11,4,NA,NA,NA,NA
"A011327","Migrated from old WRIMS data",5,10,11,4,NA,NA,NA,NA
"A011383","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A011566","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A011846","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A011859","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A011859","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A012034","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A012034","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012100","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A012232","Requested when filed",NA,NA,NA,NA,11,4,NA,NA
"A012330","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A012330","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A012452","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A012483","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A012509","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A012510","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A012510","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A012525","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A012773","Migrated from old WRIMS data",1,12,NA,NA,11,5,NA,NA
"A012850","Migrated from old WRIMS data",3,12,NA,NA,NA,NA,NA,NA
