"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A004307",NA,"",67.8,"Acre-feet per Year"
"A006805A",NA,"",15.2,"Acre-feet per Year"
"A006855",NA,"",110.7,"Acre-feet per Year"
"A006926",NA,"",2.6,"Acre-feet per Year"
"A008974",NA,"",183.5,"Acre-feet per Year"
"A009746",NA,"",0.3,"Acre-feet per Year"
"A009774",NA,"",0.1,"Acre-feet per Year"
"A009992",NA,"",0.3,"Acre-feet per Year"
"A010976",NA,"",18.2,"Acre-feet per Year"
"A011859",NA,"",7.1,"Acre-feet per Year"
"A012100",NA,"",11,"Acre-feet per Year"
"A012232",NA,"",96.5,"Acre-feet per Year"
"A012483",NA,"",131.6,"Acre-feet per Year"
"A012509",NA,"",16.7,"Acre-feet per Year"
"A012850",NA,"",71.2,"Acre-feet per Year"
"A012919A",NA,"",160044,"Acre-feet per Year"
"A013076",NA,"",49.8,"Acre-feet per Year"
"A013105",NA,"",7.4,"Acre-feet per Year"
"A013182A01",NA,"",13,"Acre-feet per Year"
"A013221",NA,"",35,"Acre-feet per Year"
"A013256",NA,"",152.7,"Acre-feet per Year"
"A013281B",NA,"",20.5,"Acre-feet per Year"
"A013453",NA,"",76.8,"Acre-feet per Year"
"A013539",NA,"",15,"Acre-feet per Year"
"A013578",NA,"",485.1,"Acre-feet per Year"
"A013633",NA,"",160.6,"Acre-feet per Year"
"A013716",NA,"",50,"Acre-feet per Year"
"A013755",NA,"",86.6,"Acre-feet per Year"
"A013863",NA,"",83.9,"Acre-feet per Year"
"A013864",NA,"",4.3,"Acre-feet per Year"
"A014043",NA,"",179.1,"Acre-feet per Year"
"A014045",NA,"",20.3,"Acre-feet per Year"
"A014054",NA,"",85.3,"Acre-feet per Year"
"A014064",NA,"",85.3,"Acre-feet per Year"
"A014065",NA,"",330.5,"Acre-feet per Year"
"A014066",NA,"",63.2,"Acre-feet per Year"
"A014160",NA,"",72.7,"Acre-feet per Year"
"A014215",NA,"",213.2,"Acre-feet per Year"
"A014379",NA,"",75.4,"Acre-feet per Year"
"A014467",NA,"",7.3,"Acre-feet per Year"
"A014856",NA,"",14.7,"Acre-feet per Year"
"A014904",NA,"",72.2,"Acre-feet per Year"
"A015075",NA,"",4,"Acre-feet per Year"
"A015120",NA,"",14.5,"Acre-feet per Year"
"A015158A",NA,"",19,"Acre-feet per Year"
"A015168",NA,"",88,"Acre-feet per Year"
"A015399",NA,"",36.7,"Acre-feet per Year"
"A015664C",NA,"",11.3,"Acre-feet per Year"
"A015728A",NA,"",53.5,"Acre-feet per Year"
"A015743",NA,"",47.7,"Acre-feet per Year"
"A015760",NA,"",68.2,"Acre-feet per Year"
"A015984",NA,"",8.9,"Acre-feet per Year"
"A016106",NA,"",23,"Acre-feet per Year"
"A016308",NA,"",152.7,"Acre-feet per Year"
"A016416",NA,"",54,"Acre-feet per Year"
