"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A003601",NA,"",27.1,"Acre-feet per Year"
"A011846",NA,"",106.2,"Acre-feet per Year"
"A012510",NA,"",89.7,"Acre-feet per Year"
"A013182B",NA,"",77.7,"Acre-feet per Year"
"A013261",NA,"",51.2,"Acre-feet per Year"
"A013269",NA,"",14.8,"Acre-feet per Year"
"A013270",NA,"",109.8,"Acre-feet per Year"
"A013539",NA,"",15,"Acre-feet per Year"
"A013639",NA,"",170.1,"Acre-feet per Year"
"A013862",NA,"",51.2,"Acre-feet per Year"
"A013973",NA,"",62.4,"Acre-feet per Year"
"A014055",NA,"",251.6,"Acre-feet per Year"
"A014056",NA,"",116.6,"Acre-feet per Year"
"A014333",NA,"",1044.8,"Acre-feet per Year"
"A014379",NA,"",75.4,"Acre-feet per Year"
"A014393",NA,"",152.6,"Acre-feet per Year"
"A014624",NA,"",105.5,"Acre-feet per Year"
"A014762",NA,"",357,"Acre-feet per Year"
"A014942",NA,"",64,"Acre-feet per Year"
"A015075",NA,"",4,"Acre-feet per Year"
"A015721",NA,"",724,"Acre-feet per Year"
"A016077",NA,"",20,"Acre-feet per Year"
"A016457",NA,"",306.2,"Acre-feet per Year"
"A016557",NA,"",313,"Acre-feet per Year"
"A016671",NA,"",147,"Acre-feet per Year"
"A018093A",NA,"",50,"Acre-feet per Year"
"A018138",NA,"",117,"Acre-feet per Year"
"A019013",NA,"",17,"Acre-feet per Year"
"A019135",NA,"",1,"Acre-feet per Year"
"A019140",NA,"",0.1,"Acre-feet per Year"
"A019806",NA,"",21,"Acre-feet per Year"
"A020127",NA,"",11,"Acre-feet per Year"
"A020333",NA,"",16,"Acre-feet per Year"
"A020979",NA,"",3,"Acre-feet per Year"
"A021156",NA,"",139,"Acre-feet per Year"
"A021429C",NA,"",290,"Acre-feet per Year"
"A021927",NA,"",42,"Acre-feet per Year"
"A021966",NA,"",8.6,"Acre-feet per Year"
"A022652",NA,"",30,"Acre-feet per Year"
"A022807",NA,"",12,"Acre-feet per Year"
"A022929",NA,"",39,"Acre-feet per Year"
"A023282",NA,"",14.5,"Acre-feet per Year"
"A023534A",NA,"",19.8,"Acre-feet per Year"
"A023534B",NA,"",99.7,"Acre-feet per Year"
"A023536",NA,"",11,"Acre-feet per Year"
"A023792",NA,"",4,"Acre-feet per Year"
"A023802",NA,"",34,"Acre-feet per Year"
"A024051",NA,"",78,"Acre-feet per Year"
"A024126",NA,"",31,"Acre-feet per Year"
"A024209B",NA,"",173,"Acre-feet per Year"
"A024266B",NA,"",50,"Acre-feet per Year"
"A024271B",NA,"",28.7,"Acre-feet per Year"
"A024378",NA,"",17,"Acre-feet per Year"
"A024391",NA,"",3,"Acre-feet per Year"
"A024405",NA,"",24,"Acre-feet per Year"
"A024425",NA,"",250,"Acre-feet per Year"
"A024593B",NA,"",320,"Acre-feet per Year"
"A024783",NA,"",2,"Acre-feet per Year"
"A024827",NA,"",21,"Acre-feet per Year"
"A024898",NA,"",25,"Acre-feet per Year"
"A024921",NA,"",0.5,"Acre-feet per Year"
"A024958B",NA,"",43,"Acre-feet per Year"
"A025012",NA,"",0.7,"Acre-feet per Year"
"A025032",NA,"",23,"Acre-feet per Year"
