"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A003601",576,2017,1,0,"STORAGE","19230820"
"A003601",576,2017,1,0,"DIRECT","19230820"
"A003601",576,2017,2,0,"DIRECT","19230820"
"A003601",576,2017,2,0,"STORAGE","19230820"
"A003601",576,2017,3,0,"DIRECT","19230820"
"A003601",576,2017,3,0,"STORAGE","19230820"
"A003601",576,2017,4,0,"STORAGE","19230820"
"A003601",576,2017,4,0,"DIRECT","19230820"
"A003601",576,2017,5,0,"STORAGE","19230820"
"A003601",576,2017,5,0,"DIRECT","19230820"
"A003601",576,2017,6,0,"STORAGE","19230820"
"A003601",576,2017,6,4.18,"DIRECT","19230820"
"A003601",576,2017,7,4.73,"DIRECT","19230820"
"A003601",576,2017,7,0,"STORAGE","19230820"
"A003601",576,2017,8,2.25,"DIRECT","19230820"
"A003601",576,2017,8,0,"STORAGE","19230820"
"A003601",576,2017,9,0,"DIRECT","19230820"
"A003601",576,2017,9,0,"STORAGE","19230820"
"A003601",576,2017,10,0,"DIRECT","19230820"
"A003601",576,2017,10,0,"STORAGE","19230820"
"A003601",576,2017,11,0,"DIRECT","19230820"
"A003601",576,2017,11,0,"STORAGE","19230820"
"A003601",576,2017,12,0,"STORAGE","19230820"
"A003601",576,2017,12,0,"DIRECT","19230820"
"A003601",576,2018,1,0,"DIRECT","19230820"
"A003601",576,2018,1,0,"STORAGE","19230820"
"A003601",576,2018,2,0,"DIRECT","19230820"
"A003601",576,2018,2,0,"STORAGE","19230820"
"A003601",576,2018,3,0,"STORAGE","19230820"
"A003601",576,2018,3,0,"DIRECT","19230820"
"A003601",576,2018,4,0,"STORAGE","19230820"
"A003601",576,2018,4,0,"DIRECT","19230820"
"A003601",576,2018,5,0,"STORAGE","19230820"
"A003601",576,2018,5,0,"DIRECT","19230820"
"A003601",576,2018,6,4.4,"DIRECT","19230820"
"A003601",576,2018,6,0,"STORAGE","19230820"
"A003601",576,2018,7,0,"STORAGE","19230820"
"A003601",576,2018,7,4.93,"DIRECT","19230820"
"A003601",576,2018,8,2.27,"DIRECT","19230820"
"A003601",576,2018,8,0,"STORAGE","19230820"
"A003601",576,2018,9,0,"STORAGE","19230820"
"A003601",576,2018,9,0,"DIRECT","19230820"
"A003601",576,2018,10,0,"STORAGE","19230820"
"A003601",576,2018,10,0,"DIRECT","19230820"
"A003601",576,2018,11,0,"STORAGE","19230820"
"A003601",576,2018,11,0,"DIRECT","19230820"
"A003601",576,2018,12,0,"DIRECT","19230820"
"A003601",576,2018,12,0,"STORAGE","19230820"
"A003601",576,2019,1,0,"STORAGE","19230820"
"A003601",576,2019,1,0,"DIRECT","19230820"
"A003601",576,2019,2,0,"STORAGE","19230820"
"A003601",576,2019,2,0,"DIRECT","19230820"
"A003601",576,2019,3,0,"STORAGE","19230820"
"A003601",576,2019,3,0,"DIRECT","19230820"
"A003601",576,2019,4,0,"DIRECT","19230820"
"A003601",576,2019,4,0,"STORAGE","19230820"
"A003601",576,2019,5,0,"STORAGE","19230820"
"A003601",576,2019,5,0,"DIRECT","19230820"
"A003601",576,2019,6,0,"STORAGE","19230820"
"A003601",576,2019,6,4.4,"DIRECT","19230820"
"A003601",576,2019,7,0,"STORAGE","19230820"
"A003601",576,2019,7,4.93,"DIRECT","19230820"
"A003601",576,2019,8,0,"STORAGE","19230820"
"A003601",576,2019,8,2.27,"DIRECT","19230820"
"A003601",576,2019,9,0,"DIRECT","19230820"
"A003601",576,2019,9,0,"STORAGE","19230820"
"A003601",576,2019,10,0,"STORAGE","19230820"
"A003601",576,2019,10,0,"DIRECT","19230820"
"A003601",576,2019,11,0,"DIRECT","19230820"
"A003601",576,2019,11,0,"STORAGE","19230820"
"A003601",576,2019,12,0,"DIRECT","19230820"
"A003601",576,2019,12,0,"STORAGE","19230820"
"A003601",576,2020,1,0,"STORAGE","19230820"
"A003601",576,2020,1,0,"DIRECT","19230820"
"A003601",576,2020,2,0,"DIRECT","19230820"
"A003601",576,2020,2,0,"STORAGE","19230820"
"A003601",576,2020,3,0,"DIRECT","19230820"
"A003601",576,2020,3,0,"STORAGE","19230820"
"A003601",576,2020,4,0,"DIRECT","19230820"
"A003601",576,2020,4,0,"STORAGE","19230820"
"A003601",576,2020,5,0,"DIRECT","19230820"
"A003601",576,2020,5,0,"STORAGE","19230820"
