"APPLICATION_NUMBER","WATER_RIGHT_TYPE","PRIORITY_DATE","APPLICATION_RECD_DATE","APPLICATION_ACCEPTANCE_DATE","SUB_TYPE","YEAR_DIVERSION_COMMENCED"
"A003601","Appropriative","","","08/20/1923","",NA
"A011846","Appropriative","","","04/28/1947","",NA
"A012510","Appropriative","","","05/14/1948","",NA
"A013182B","Appropriative","","","06/29/1949","",NA
"A013261","Appropriative","","","07/26/1949","",NA
"A013269","Appropriative","","","07/28/1949","",NA
"A013270","Appropriative","","","07/29/1949","",NA
"A013539","Appropriative","","","01/12/1950","",NA
"A013639","Appropriative","","","03/20/1950","",NA
"A013862","Appropriative","","","07/25/1950","",NA
"A013973","Appropriative","","","10/02/1950","",NA
"A014055","Appropriative","","","11/14/1950","",NA
"A014056","Appropriative","","","11/14/1950","",NA
"A014333","Appropriative","","","06/05/1951","",NA
"A014379","Appropriative","","","06/29/1951","",NA
"A014393","Appropriative","","","07/16/1951","",NA
"A014624","Appropriative","","","01/21/1952","",NA
"A014762","Appropriative","","","04/18/1952","",NA
"A014942","Appropriative","","","07/30/1952","",NA
"A015075","Appropriative","","","11/06/1952","",NA
"A015721","Appropriative","","02/10/1954","02/11/1954","",NA
"A016077","Appropriative","","","10/04/1954","",NA
"A016457","Appropriative","","07/11/1955","07/11/1955","",NA
"A016557","Appropriative","","","08/29/1955","",NA
"A016671","Appropriative","","10/17/1955","10/18/1955","",NA
"A018093A","Appropriative","","04/11/1958","04/11/1958","",NA
"A018138","Appropriative","","","05/16/1958","",NA
"A019013","Appropriative","","","10/02/1959","",NA
"A019135","Appropriative","","","12/14/1959","",NA
"A019140","Appropriative","","","12/18/1959","",NA
"A019806","Appropriative","","","10/07/1960","",NA
"A020127","Appropriative","","","05/12/1961","",NA
"A020333","Appropriative","","","07/31/1961","",NA
"A020979","Appropriative","","","10/15/1962","",NA
"A021156","Appropriative","","","02/11/1963","",NA
"A021429C","Appropriative","","","08/15/1963","",NA
"A021927","Appropriative","","","10/08/1964","",NA
"A021966","Appropriative","","","11/19/1964","",NA
"A022652","Appropriative","","","12/02/1966","",NA
"A022807","Appropriative","","","06/06/1967","",NA
"A022929","Appropriative","","","10/13/1967","",NA
"A023282","Appropriative","","","05/20/1969","",NA
"A023534A","Appropriative","","","06/18/1970","",NA
"A023534B","Appropriative","","","06/18/1970","",NA
"A023536","Appropriative","","","06/24/1970","",NA
"A023792","Appropriative","","","05/28/1971","",NA
"A023802","Appropriative","","","06/08/1971","",NA
"A024051","Appropriative","","","04/24/1972","",NA
"A024126","Appropriative","","","07/24/1972","",NA
"A024209B","Appropriative","","","10/17/1972","",NA
"A024266B","Appropriative","","","12/21/1972","",NA
"A024271B","Appropriative","","","12/22/1972","",NA
"A024378","Appropriative","","","05/24/1973","",NA
"A024391","Appropriative","06/05/1973","06/05/1973","06/06/1973","",NA
"A024405","Appropriative","","","06/29/1973","",NA
"A024425","Appropriative","","","07/31/1973","",NA
"A024593B","Appropriative","","04/12/1974","04/12/1974","",NA
"A024783","Appropriative","","","03/20/1975","",NA
"A024827","Appropriative","","","06/26/1975","",NA
"A024898","Appropriative","10/10/1975","","10/10/1975","",NA
"A024921","Appropriative","","","10/29/1975","",NA
"A024958B","Appropriative","","","12/16/1975","",NA
"A025012","Appropriative","","","02/27/1976","",NA
"A025032","Appropriative","","","03/31/1976","",NA
"A025201","Appropriative","","","11/23/1976","",NA
"A025623","Appropriative","","","12/30/1977","",NA
"A025749A","Appropriative","","","05/26/1978","",NA
"A025887B","Appropriative","","","12/19/1978","",NA
"A026938","Appropriative","","","08/04/1981","",NA
"A026993","Appropriative","","","09/08/1981","",NA
"A027036","Appropriative","","","10/07/1981","",NA
"A027046","Appropriative","","","10/16/1981","",NA
"A027149","Appropriative","","","12/11/1981","",NA
"A027177","Appropriative","","","01/11/1982","",NA
"A027424","Appropriative","","","07/14/1982","",NA
"A027440","Appropriative","","","07/20/1982","",NA
"A028365","Appropriative","","","12/27/1984","",NA
"A028635","Appropriative","","","12/03/1985","",NA
"A028855","Appropriative","","","06/09/1986","",NA
"A028886","Appropriative","","","09/08/1986","",NA
"A029327","Appropriative","","","08/22/1988","",NA
"A029479","Appropriative","","04/03/1989","04/28/1989","",NA
"A029480","Appropriative","","","04/28/1989","",NA
"A029858","Appropriative","","","11/13/1990","",NA
"A030412","Appropriative","","09/27/1994","11/10/1994","",NA
"A030797","Appropriative","","06/16/1998","10/15/1998","",NA
"A030882","Appropriative","","03/25/1998","04/27/1999","",NA
"A031304","Appropriative","","01/24/2002","03/14/2002","",NA
"C001166","Stockpond","","","09/27/1977","",1961
"C005162","Stockpond","","12/22/1997","12/22/1997","",1968
"C005163","Stockpond","","12/22/1997","12/22/1997","",1967
"D032229","Registration Domestic","","01/06/2014","01/06/2014","",1955
"D032725","Registration Domestic","09/19/2016","09/19/2016","08/11/2017","",1983
"D032768","Registration Domestic","01/25/2017","01/25/2017","","",NA
"H500244","Registration Cannabis","02/06/2018","02/06/2018","","",2018
"H501640","Registration Cannabis","06/26/2018","06/26/2018","","",2018
"L031424","Registration Livestock","05/02/2003","05/02/2003","05/02/2003","",1982
"L032128","Registration Livestock","06/17/2013","06/17/2013","06/17/2013","",NA
"L032271","Registration Livestock","06/11/2014","06/11/2014","04/28/2017","",2012
"S000115","Statement of Div and Use","","","01/03/1967","PRE1914,",1914
"S000549","Statement of Div and Use","","","04/12/1967","RIPARIAN,",1963
"S008184","Statement of Div and Use","","","01/01/1973","RIPARIAN,",1957
"S009054","Statement of Div and Use","","","11/29/1976","PRE1914,",1905
"S009294","Statement of Div and Use","","","06/13/1977","PRE1914,",1860
"S009299","Statement of Div and Use","","","06/07/1977","PRE1914,",1899
"S010433","Statement of Div and Use","","","07/10/1981","RIPARIAN,",1960
"S012430","Statement of Div and Use","","","02/13/1986","RIPARIAN,",1969
"S012432","Statement of Div and Use","","","02/13/1986","RIPARIAN,",1970
"S012594","Statement of Div and Use","","","12/27/1985","OTHER,",1965
"S012749","Statement of Div and Use","","","08/26/1986","RIPARIAN,",1984
"S012751","Statement of Div and Use","","","10/23/1986","RIPARIAN,",1986
"S013724","Statement of Div and Use","","","07/26/1991","RIPARIAN,",1969
"S013760","Statement of Div and Use","","","12/03/1991","RIPARIAN,",1961
"S013977","Statement of Div and Use","","","01/28/1993","RIPARIAN,",1975
"S014059","Statement of Div and Use","","","08/04/1993","RIPARIAN,",1948
"S014074","Statement of Div and Use","","","08/10/1993","RIPARIAN,",1974
"S014078","Statement of Div and Use","","","08/10/1993","RIPARIAN,",1974
"S014085","Statement of Div and Use","","","08/10/1993","RIPARIAN,",1974
"S014749","Statement of Div and Use","","04/24/1997","04/24/1997","RIPARIAN,",1918
"S014863","Statement of Div and Use","","01/29/1998","01/29/1998","RIPARIAN,",1940
"S014946","Statement of Div and Use","","03/23/1998","03/23/1998","RIPARIAN,",1940
"S014977","Statement of Div and Use","","07/03/1998","07/03/1998","RIPARIAN,",1982
"S014978","Statement of Div and Use","","07/03/1998","07/03/1998","RIPARIAN,",1982
"S015196","Statement of Div and Use","","07/02/2001","07/02/2001","RIPARIAN,PRE1914,",1875
"S015335","Statement of Div and Use","","02/20/2001","02/20/2001","RIPARIAN,",1998
"S015461","Statement of Div and Use","","12/13/2002","01/06/2004","RIPARIAN,",1958
"S015522","Statement of Div and Use","","01/21/2004","03/17/2004","RIPARIAN,",1977
"S015753","Statement of Div and Use","","07/15/2002","07/15/2002","RIPARIAN,",1972
"S015758","Statement of Div and Use","","06/28/2005","06/28/2004","RIPARIAN,",2002
"S015825","Statement of Div and Use","","10/07/2005","10/07/2005","PRE1914,",1900
"S015850","Statement of Div and Use","","04/14/2005","04/14/2005","RIPARIAN,",1965
"S015871","Statement of Div and Use","","05/02/2005","05/02/2005","RIPARIAN,",1964
"S015910","Statement of Div and Use","","03/23/2005","03/23/2005","PRE1914,",1974
"S015924","Statement of Div and Use","","04/27/2005","04/27/2005","RIPARIAN,",1970
"S015948","Statement of Div and Use","","03/30/2005","03/30/2005","RIPARIAN,",1947
"S016021","Statement of Div and Use","","03/30/2007","03/30/2007","RIPARIAN,",1986
