year	month	day	h	m	s	precip1	precip2	precip3	precip4	precip5	precip6	precip7	precip8	precip9	precip10	precip11	precip12	precip13	precip14	precip15	tmax1	tmax2	tmax3	tmax4	tmax5	tmax6	tmax7	tmax8	tmin1	tmin2	tmin3	tmin4	tmin5	tmin6	tmin7	tmin8	runoff1	runoff2	runoff3	runoff4	runoff5	runoff6	runoff7	runoff8	runoff9	runoff10	runoff11	runoff12	runoff13	runoff14	runoff15	runoff16	runoff17	runoff18	runoff19	runoff20	runoff21	runoff22
2021	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.1	27.8	24.4	25.6	22.2	29.45	15	26.7	8.33	6.4	7.8	5	9.4	7.22	7.8	8.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.67	22.5	25	24.9	22.8	25	15.6	27.8	12.78	7.8	7.2	7.3	12.8	5.56	7.8	11.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.67	22.6	28.9	31.1	27.2	28.89	21.1	31.1	14.44	8.1	6.1	5.6	15	6.11	13.3	13.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.11	27.8	28.9	28.3	27.8	28.89	21.7	28.9	14.44	7.5	7.8	7.2	15	7.78	13.3	12.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.22	27.9	32.8	27.8	27.8	32.78	27.2	30	10	9	5.6	4.4	10.6	7.78	12.8	8.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508	0	0	0	26.67	31.9	24.4	23.3	22.2	32.78	15.6	23.9	9.44	8.6	3.9	7.2	9.4	5.56	6.1	7.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.56	22.5	23.9	26.1	21.7	23.89	15.6	25.6	10.56	7.5	7.8	1.7	7.8	4.44	3.3	8.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.67	21.9	30	32.2	27.2	29.44	21.7	31.1	13.33	6.7	2.8	4.4	16.1	3.89	11.7	12.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.45	28	27.8	31.8	25.6	29.44	18.9	30	15	7	6.7	6.7	13.3	6.67	11.1	14.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	25.8	32.8	31.7	30	31.67	25	31.7	13.33	9.1	5	5	18.9	5	15	14.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.6	31.8	33.3	27.8	28.9	32.22	26.1	30	8.2	9.5	5.6	4.4	20.6	7.22	18.9	8.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2	31.9	32.8	20	26.1	30.5	26.7	22.8	7.6	11	6.1	5	14.4	7.7	18.9	7.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2	31.9	32.8	20	26.1	30.5	26.7	22.8	7.6	11	6.1	5	14.4	7.7	18.9	7.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2021	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2	31.9	32.8	20	26.1	30.5	26.7	22.8	7.6	11	6.1	5	14.4	7.7	18.9	7.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
