"Date","CIMIS_PRECIP6","CIMIS_PRECIP12","CIMIS_TMAX3","CIMIS_TMAX4","CIMIS_TMIN3","CIMIS_TMIN4"
2023-01-11,"32.33","18.06","12.8","14.4","7.8","9.4"
2023-01-12,"33.68","0.508","12.1","17.8"," 8.7","11.1"
2023-01-13,"13.58"," 8.02","16.8","15.0","10.1","11.1"
2023-01-14,"42.91","48.09","13.3","14.4","6.7","7.2"
2023-01-15,"27.04","23.03","10.6","11.7","5.0","7.2"
2023-01-16," 6.48","0.761","11.7","13.3","1.7","3.3"
2023-01-17," 0.71","0.000","14.4","15.0","-1.7","-0.6"
2023-01-18," 0.00","7.360","8.9","11.7","-0.6","0.0"
2023-01-19,"12.32","0.254","12.2","13.3","-0.6","1.1"
2023-01-20," 0.00","0.000","16.7","15.0","-2.2","0.0"
2023-01-21," 0.00","0.000","16.1","15.0","-3.9","-2.2"
2023-01-22," 0.00","0.000","15.6","16.7","-0.6","-0.6"
2023-01-23," 0.00","0.000","19.4","20.6","-2.8","2.8"
2023-01-24," 0.00","0.000","18.3","17.8","-0.8","-1.1"
2023-01-25," 0.00","0.000","21.4","23.3","-0.2","0.0"
2023-01-26," 0.00","0.000","21.9","20.0"," 0.4","1.7"
2023-01-27," 0.00","0.000","21.8","16.1"," 0.3","0.0"
2023-01-28," 0.00","0.000","17.8","15.0","-2.2","-1.1"
2023-01-29," 0.00","0.254","13.9","12.2","-2.8","-2.2"
2023-01-30," 0.00","0.000","11.4","15.6","-3.5","-2.8"
2023-01-31," 0.00","0.000","14.5","16.7","-4.8","-5.0"
2023-02-01," 0.00","0.508","15.6","14.4","-4.4","-3.3"
2023-02-02," 0.00","0.000","16.1","13.9","-3.9","-3.3"
2023-02-03,"12.25","17.74","14.4","13.3","2.8","5.6"
2023-02-04," 1.01","14.46","12.8","13.3","2.2","5.0"
2023-02-05,"19.18","4.822","11.1","13.3","2.2","2.2"
2023-02-06," 9.54","0.000","16.1","17.2","-1.1","-0.6"
2023-02-07," 0.00","0.000","16.7","16.7","0.6","-0.6"
2023-02-08," 0.00","0.000","22.2","18.3","-0.6","-0.6"
2023-02-09," 0.00","0.254","22.8","19.4","-1.7","-1.1"
2023-02-10," 0.00","0.000","15.0","15.0","-2.8","-1.7"
2023-02-11," 2.40","0.508","15.0","15.0","1.1","1.7"
2023-02-12," 0.00","0.000","23.3","20.0","-1.7","-1.1"
2023-02-13," 0.00","0.000","17.8","17.8","-0.6","-1.1"
2023-02-14," 0.00","0.000","11.1","12.2","-1.7","1.1"
2023-02-15," 0.46","0.000"," 9.7","16.7","-3.0","-2.2"
2023-02-16," 0.00"," 0.00","15.0","15.8","-4.2","-2.5"
2023-02-17," 0.00","0.000","18.9","17.2","-0.6","-2.2"
2023-02-18," 0.00","0.000","17.1","17.8","-1.6","-3.9"
2023-02-19," 0.00","0.000","17.9","20.0","-2.6","-2.2"
2023-02-20," 0.00","0.000","22.4","21.1","-0.8","0.0"
2023-02-21," 0.00","0.000","12.8","15.6","3.3","2.2"
2023-02-22," 1.51","0.000","8.9","10.0","-2.2","-1.1"
2023-02-23," 3.27","12.43","7.8","10.0","-1.7","-3.9"
2023-02-24,"23.88","28.41"," 6.2","8.9","-0.5","0.6"
2023-02-25,"11.59","2.031","10.0","11.1","0.0","0.6"
2023-02-26," 1.30","5.330","10.6","12.2","0.6","0.6"
2023-02-27,"11.53","15.73","8.9","10.6","0.0","-0.6"
2023-02-28,"21.44","20.71","8.3","11.7","1.1","1.1"
2023-03-01,"12.34","0.000"," 7.7","13.3","-1.4","-2.2"
2023-03-02," 0.00","0.000","11.1","15.0","-2.2","-1.1"
2023-03-03," 0.00","0.000","16.1","15.6","0.0","-1.1"
2023-03-04," 0.00","10.15","11.1","11.7","2.8","2.2"
2023-03-05,"24.59","11.42","11.1","11.7","0.6","0.0"
2023-03-06,"11.58","6.345","9.4","12.2","0.6","1.1"
2023-03-07," 6.73","4.569","10.6","12.2","1.1","1.1"
2023-03-08,"12.25","2.284","14.4","12.8","1.1","1.1"
2023-03-09," 1.24"," 1.13","10.6","12.3","0.0"," 1.5"
2023-03-10,"52.93","8.376","15.6","15.0","5.0","6.1"
2023-03-11," 0.54","3.300","11.7","12.2","5.0","4.4"
2023-03-12,"12.25","20.04","13.9","13.9","10.0","11.1"
2023-03-13,"16.87","8.883","13.3","15.6"," 9.9","11.7"
2023-03-14,"26.24","24.46","16.1","15.0","7.2","5.6"
2023-03-15,"26.79","0.000","17.8","17.8","1.1","1.1"
2023-03-16," 0.00","0.000","21.1","16.7","0.6","1.7"
2023-03-17," 0.00","0.000","22.2","20.0","1.1","0.6"
2023-03-18," 0.00"," 0.00","19.3","19.0"," 1.7"," 1.9"
2023-03-19," 9.78","17.00","12.8","13.3","9.4","8.9"
2023-03-20," 6.80","0.000","15.6","13.9","2.8","3.9"
2023-03-21," 1.63"," 3.21","11.7","11.7","6.1","6.1"
2023-03-22,"17.61","4.061","15.6","15.6","7.8","7.8"
2023-03-23,"0.762","0","7.94444444444444","4.77777777777778","12.5","6.83333333333333"
2023-03-24,"0.508","0","6.55555555555555","1.55555555555555","11.1111111111111","3.83333333333333"
2023-03-25,"0","0","8.05555555555556","1.72222222222222","12.2222222222222","4.22222222222222"
2023-03-26,"0","0","9.11111111111111","1.16666666666667","12.1666666666667","2.94444444444444"
2023-03-27,"5.588","3.81","6.77777777777778","2.94444444444444","10.5555555555556","4.05555555555555"
2023-03-28,"44.704","46.228","5.77777777777778","4.66666666666667","10","7.22222222222222"
