"Station","Date","Tmax","Tmin"
"in""SNTAROSA.A","20221215","13.9","-2.2"
"SNTAROSA.A","20221216","15.0","-2.2"
"SNTAROSA.A","20221217","15.0","-4.4"
"SNTAROSA.A","20221218","13.9","-5.0"
"SNTAROSA.A","20221219","7.2","2.2"
"SNTAROSA.A","20221220","",""
"SNTAROSA.A","20221221","15.6","0.0"
"SNTAROSA.A","20221222","10.0","3.9"
"SNTAROSA.A","20221223","13.9","2.8"
"SNTAROSA.A","20221224","17.8","1.7"
"SNTAROSA.A","20221225","15.6","3.9"
"SNTAROSA.A","20221226","11.1","4.4"
"SNTAROSA.A","20221227","15.6","5.0"
"SNTAROSA.A","20221228","13.3","1.7"
"SNTAROSA.A","20221229","11.1","7.8"
"SNTAROSA.A","20221230","15.6","10.0"
"SNTAROSA.A","20221231","13.9","5.0"
"SNTAROSA.A","20230101","17.8","1.7"
"SNTAROSA.A","20230102","10.0","2.8"
"SNTAROSA.A","20230103","10.0","3.9"
"SNTAROSA.A","20230104","14.4","4.4"
"SNTAROSA.A","20230105","14.4","6.1"
"SNTAROSA.A","20230106","13.3","7.8"
"SNTAROSA.A","20230107","12.2","8.9"
"SNTAROSA.A","20230108","",""
"SNTAROSA.A","20230109","16.1","5.6"
"SNTAROSA.A","20230110","13.9","7.2"
