"LAMC1","UKAC1","HOPC1","CDLC1","HEAC1","GUEC1","RMKC1","LSEC1","MWEC1","KCVC1"
"LAMC1","UKAC1","HOPC1","CDLC1","HEAC1","GUEC1","RMKC1","LSEC1","MWEC1","KCVC1"
" 9.652","11.176"," 9.906","11.176","13.208","14.986","14.478","11.176","11.684","12.446"
"14.986","18.288","17.526","19.812","25.400","30.988","27.432","25.654","26.162","18.288"
" 7.112"," 8.128"," 8.890","11.430","12.954","11.176","17.018"," 5.842"," 9.144","14.986"
"3.810","4.318","5.334","6.604","3.556","3.556","4.064","1.016","1.524","6.350"
"4.572","6.096","5.334","4.318","1.778","2.032","1.778","0.762","1.016","2.286"
"4.318","6.096","4.572","3.048","1.270","1.778","1.016","0.762","0.762","1.270"
"4.318","5.588","4.572","3.810","1.524","2.286","1.270","0.762","1.016","1.778"
"2.794","3.556","3.556","3.556","2.286","2.794","2.032","2.032","1.778","2.794"
"11.430","11.684","12.446","12.954","12.192","12.446","11.938"," 8.636"," 9.398","13.208"
"10.922","11.176","11.176","11.938","13.462","12.954","13.462"," 9.652","10.668","12.700"
"4.572","4.064","4.064","4.826","8.382","7.874","7.874","5.842","7.366","5.842"
"4.064","4.318","4.826","5.588","6.604","7.112","6.604","5.080","6.096","5.588"
"15.494","17.018","17.018","18.288","18.542","18.796","20.828","14.986","17.272","21.590"
"15.240","14.732","12.954","14.224","15.494","14.986","20.066","12.700","14.478","18.034"
"5.842","7.112","5.588","4.064","2.032","2.286","2.286","1.524","2.032","3.048"
"1.778","2.032","1.778","1.270","0.508","0.508","0.508","0.508","0.508","1.016"
"1.016","1.270","1.270","1.016","0.508","0.508","0.508","0.508","0.508","0.762"
"4.572","4.572","4.826","4.826","4.826","4.826","4.826","4.064","4.064","5.334"
" 8.890"," 8.636"," 9.652","11.176","10.414","10.922","11.430"," 7.874"," 9.144","12.446"
"4.826","4.572","5.080","5.588","4.826","4.572","5.334","3.556","4.064","7.112"
"3.048","3.048","3.048","2.794","2.286","2.286","2.794","2.032","2.286","2.794"
"3.302","3.048","3.048","2.540","2.032","2.286","2.032","1.778","2.032","2.286"
"1.270","1.270","1.016","0.762","0.508","0.762","0.508","0.508","0.508","0.508"
"2.032","2.286","1.778","1.524","1.016","1.016","1.016","1.016","1.016","1.270"
