"Station","X03.23.2023.12.00","X03.23.2023.18.00","X03.24.2023.00.00","X03.24.2023.06.00","X03.24.2023.12.00","X03.24.2023.18.00","X03.25.2023.00.00","X03.25.2023.06.00","X03.25.2023.12.00","X03.25.2023.18.00","X03.26.2023.00.00","X03.26.2023.06.00","X03.26.2023.12.00","X03.26.2023.18.00","X03.27.2023.00.00","X03.27.2023.06.00","X03.27.2023.12.00","X03.27.2023.18.00","X03.28.2023.00.00","X03.28.2023.06.00","X03.28.2023.12.00","X03.28.2023.18.00","X03.29.2023.00.00","X03.29.2023.06.00","...28"
"LAMC1",0,1.016,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,4.826,8.636,12.7,17.526,6.096,6.35,6.858,NA
"UKAC1",0,1.524,0.508,0,0,0.254,0,0,0,0,0,0,0,0,0,0.254,2.032,5.334,9.144,14.224,17.018,6.35,5.842,7.366,NA
"HOPC1",0,0.762,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,4.064,8.382,14.224,17.018,5.08,5.08,5.588,NA
"CDLC1",0,0.762,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,4.064,8.636,14.732,19.558,4.826,5.08,3.81,NA
"HEAC1",0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016,3.81,8.382,16.256,21.844,5.842,5.08,3.556,NA
"GUEC1",0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016,3.81,8.128,16.764,20.32,5.334,5.08,3.81,NA
"RMKC1",0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762,4.572,9.144,17.018,23.622,6.604,5.588,4.318,NA
"LSEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,2.54,6.096,14.478,15.748,4.064,3.302,3.048,NA
"MWEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,3.302,6.858,15.748,18.796,4.826,4.064,3.048,NA
"KCVC1",0,0.508,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016,4.826,9.906,15.748,23.114,6.35,6.096,4.064,NA
