"Year","month","day","h","m","s","DOWNSIZER_PRECIP1","DOWNSIZER_PRECIP2","DOWNSIZER_PRECIP3","RAWS_PRECIP4","DOWNSIZER_PRECIP5","CIMIS_PRECIP6","RAWS_PRECIP7","DOWNSIZER_PRECIP8","RAWS_PRECIP9","DOWNSIZER_PRECIP10","DOWNSIZER_PRECIP11","CIMIS_PRECIP12","DOWNSIZER_PRECIP13","DOWNSIZER_PRECIP14","DOWNSIZER_PRECIP15","DOWNSIZER_TMAX1","DOWNSIZER_TMAX2","CIMIS_TMAX3","CIMIS_TMAX4","RAWS_TMAX5","DOWNSIZER_TMAX6","RAWS_TMAX7","RAWS_TMAX8","DOWNSIZER_TMIN1","DOWNSIZER_TMIN2","CIMIS_TMIN3","CIMIS_TMIN4","RAWS_TMIN5","DOWNSIZER_TMIN6","RAWS_TMIN7","RAWS_TMIN8","Runoff1","Runoff2","Runoff3","Runoff4","Runoff5","Runoff6","Runoff7","Runoff8","Runoff9","Runoff10","Runoff11","Runoff12","Runoff13","Runoff14","Runoff15","Runoff16","Runoff17","Runoff18","Runoff19","Runoff20","Runoff21","Runoff22"
2023,1,11,0,0,0,33.48,28.956,23.87,38.01,30.97,32.33,20.93,34.29,50.99,53.34,29.21,18.06,72.39,25.146,17.71,12.777778,9.9,12.8,14.4,10,8.333333,7.2,12.8,8.333333,6.5,7.8,9.4,6.1,6.6666665,3.3,8.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,12,0,0,0,31.29,6.604,36.24,1.52,37.19,33.68,6.86,33.02,1.02,0.762,28.448,0.508,0,25.146,44.15,18.88889,11.8,12.1,17.8,13.9,17.222221,10,17.8,12.222222,8.2,8.7,11.1,9.4,7.7777777,6.1,12.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,13,0,0,0,15.21,28.194,12.91,26.16,14.66,13.58,40.89,27.94,37.59,50.038,2.286,8.02,61.722,21.844,22.7,13.333333,16.2,16.8,15,10,15,7.2,13.3,10.555555,9.8,10.1,11.1,7.2,9.444445,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,14,0,0,0,44.25,33.782,41.42,40.89,49.09,42.91,44.45,43.18,47.5,44.704,0,48.09,0,18.796,44.77,13.333333,12.4,13.3,14.4,9.4,10.555555,6.7,12.8,7.2222223,9.3,6.7,7.2,4.4,7.7777777,0.6,6.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,15,0,0,0,34.5,10.922,21.08,5.33,30.55,27.04,11.68,30.48,9.4,14.986,35.6,23.03,0,10.922,21.38,11.111111,11.7,10.6,11.7,6.1,9.444445,3.3,10,6.6666665,6.1,5,7.2,3.9,6.111111,1.1,6.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,16,0,0,0,3.65,1.016,3.86,0.25,4.82,6.48,0,10.16,0,0,12.17,0.761,0,11.684,15.81,12.777778,9.2,11.7,13.3,7.2,9.444445,2.8,11.1,6.6666665,5.6,1.7,3.3,3.9,3.8888888,0,6.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,17,0,0,0,0,0,0,0,0,0.71,0.25,0,0,0,0,0,49.022,0,0.13,15.555555,10.1,14.4,15,10,11.666667,6.7,13.3,2.7777777,1.3,-1.7,-0.6,2.8,-1.6666666,1.1,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,18,0,0,0,0,3.556,0,17.02,0,0,12.95,0,11.94,11.938,0,7.36,0,7.62,0.01,10.555555,12.6,8.9,11.7,7.8,11.666667,9.8,10,1.1111112,-0.5,-0.6,0,2.8,-1.6666666,11.3,3.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,19,0,0,0,17.44,12.954,12.38,2.03,15.53,12.32,0.25,15.24,0,0,9.398,0.254,7.62,7.874,10.66,12.777778,8.1,12.2,13.3,8.9,10,6.1,11.7,1.1111112,0,-0.6,1.1,2.8,-0.5555556,-1.1,3.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0.254,0,17.777779,10.5,16.7,15,11.1,13.888889,8.9,13.9,0.5555556,-0.9,-2.2,0,5.6,-3.3333333,1.7,6.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,21,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,15.555555,12.9,16.1,15,12.2,14.444445,8.9,13.9,-0.5555556,-1.6,-3.9,-2.2,6.1,-2.7777777,3.3,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.11111,13.9,15.6,16.7,11.7,14.444445,8.3,15.6,3.3333333,-0.9,-0.6,-0.6,6.1,-1.1111112,1.1,6.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.777779,14,19.4,20.6,16.7,16.666666,15,19.4,2.2222223,0.8,-2.8,2.8,8.9,-1.6666666,6.1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88889,17.8,18.3,17.8,19.4,22.222221,16.7,17.2,2.2222223,0.7,-0.8,-1.1,13.9,-0.5555556,10.6,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.555555,20.9,21.4,23.3,18.9,22.222221,17.2,22.8,1.6666666,1.2,-0.2,0,14.4,-0.5555556,10,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20.8,21.9,20,20,21.666666,18.9,19.4,5.5555553,2,0.4,1.7,11.1,-0.5555556,10.6,9.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.777779,21.3,21.8,16.1,17.2,20,14.4,15,1.6666666,1.6,0.3,0,10.6,-0.5555556,6.1,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.222221,19,17.8,15,12.8,17.222221,11.7,14.4,1.1111112,1,-2.2,-1.1,2.8,-1.1111112,0.6,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0.254,0,13.888889,15.4,13.9,12.2,6.7,15,10.8,10,1.6666666,0.4,-2.8,-2.2,0.6,-1.1111112,2.1,3.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.26,16.11111,11.7,11.4,15.6,10.6,15,8.3,13.3,-1.6666666,-2.5,-3.5,-2.8,2.2,-3.3333333,-0.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.777779,13.6,14.5,16.7,13.9,17.222221,13.9,15.6,-2.2222223,-3.6,-4.8,-5,6.7,-5,5.6,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,1,0,0,0,0,0,0,0,0,0,14.13,0,0,0,0,0.508,0,0,0,15,17.1,15.6,14.4,10.6,17.222221,8.9,13.9,-0.5555556,-2.7,-4.4,-3.3,6.1,-3.3333333,2.8,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,13.888889,14.4,16.1,13.9,12.2,15,7.2,14.4,-0.5555556,-1.5,-3.9,-3.3,7.8,-2.2222223,2.2,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,3,0,0,0,10.61,11.43,12.36,7.87,13.84,12.25,19.41,13.97,12.95,16.51,13.716,17.74,15.748,22.606,22.13,13.888889,15.1,14.4,13.3,10.6,13.333333,7.2,12.8,7.2222223,-0.7,2.8,5.6,5,6.111111,2.8,6.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,4,0,0,0,0.31,0.254,0.54,10.41,0.32,1.01,9.36,0,14.48,11.176,0.254,14.46,1.27,13.97,0.74,12.222222,12.8,12.8,13.3,9.4,12.222222,6.7,12.8,6.6666665,3.1,2.2,5,6.1,0.5555556,2.8,8.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,5,0,0,0,27.89,30.48,16.74,19.81,19.95,19.18,0,0,13.46,9.398,21.844,4.822,10.922,17.526,16.28,11.666667,11.8,11.1,13.3,6.1,12.222222,2.8,10.6,6.111111,2.7,2.2,2.2,3.9,5.5555553,0.6,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,6,0,0,0,13.53,0.254,11.03,0,11.22,9.54,0,22.098,0,0,3.81,0,0,1.016,4.42,17.777779,9.2,16.1,17.2,14.4,14.444445,11.7,16.1,5,1.6,-1.1,-0.6,2.8,-1.1111112,0,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,7,0,0,0,0,0.254,0,0,0,0,0,2.54,0,0,0,0,0,0,0,18.88889,14.9,16.7,16.7,14.4,16.11111,15.6,16.1,2.7777777,0.5,0.6,-0.6,10.6,-0.5555556,8.9,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,22.2,18.3,16.1,18.88889,16.7,17.8,0.5555556,1.3,-0.6,-0.6,10,-1.6666666,8.3,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,9,0,0,0,0,0,0,0,0,0,3.6,0,0,0.254,0,0.254,0,0,0,20.555555,18.3,22.8,19.4,17.2,21.11111,17.8,18.3,1.6666666,0.8,-1.7,-1.1,10.6,-1.1111112,8.9,7.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,10,0,0,0,0,0,0,0,0,0,0,0,1.52,0.254,0,0,0,1.524,0,16.666666,20.1,15,15,11.1,21.11111,8.9,13.9,0.5555556,1.3,-2.8,-1.7,3.3,-1.1111112,-0.6,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,11,0,0,0,2.63,0.508,2.01,0,2.24,2.4,0,0,0,0.254,1.016,0.508,6.858,3.048,4.74,15.555555,12.4,15,15,13.3,12.777778,10.9,13.9,3.8888888,0.2,1.1,1.7,3.3,5.684342e-14,5.3,6.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,2,12,0,0,0,0,0.254,0,0,0,0,0,4.572,0,0,0,0,0,0.254,0,23.333334,14,23.3,20,20,20.555555,18.3,19.4,1.6666666,1.1,-1.7,-1.1,12.8,-1.6666666,8.3,5.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
