"Date","DOWNSIZER_PRECIP1","DOWNSIZER_PRECIP2","DOWNSIZER_PRECIP3","DOWNSIZER_PRECIP5","DOWNSIZER_PRECIP8","DOWNSIZER_PRECIP10","DOWNSIZER_PRECIP11","DOWNSIZER_PRECIP13","DOWNSIZER_PRECIP14","DOWNSIZER_PRECIP15","DOWNSIZER_TMAX1","DOWNSIZER_TMIN1","DOWNSIZER_TMAX2","DOWNSIZER_TMIN2","DOWNSIZER_TMAX6","DOWNSIZER_TMIN6","date"
"2023-1-11","33.48","28.956","23.87","30.97","34.29","53.34","29.21","72.39","25.146"," 17.71","12.777778","8.333333"," 9.9"," 6.5","8.333333","6.6666665","2023-01-11"
"2023-1-12","31.29","6.604","36.24","37.19","33.02","0.762","28.448","0.0","25.146"," 44.15","18.88889","12.222222","11.8"," 8.2","17.222221","7.7777777","2023-01-12"
"2023-1-13","15.21","28.194","12.91","14.66","27.94","50.038","2.286","61.722","21.844"," 22.70","13.333333","10.555555","16.2"," 9.8","15.0","9.444445","2023-01-13"
"2023-1-14","44.25","33.782","41.42","49.09","43.18","44.704","0.0","0.0","18.796"," 44.77","13.333333","7.2222223","12.4"," 9.3","10.555555","7.7777777","2023-01-14"
"2023-1-15","34.50","10.922","21.08","30.55","30.48","14.986","35.60","0.0","10.922"," 21.38","11.111111","6.6666665","11.7"," 6.1","9.444445","6.111111","2023-01-15"
"2023-1-16"," 3.65","1.016"," 3.86"," 4.82","10.16","0.0","12.17","0.0","11.684"," 15.81","12.777778","6.6666665"," 9.2"," 5.6","9.444445","3.8888888","2023-01-16"
"2023-1-17"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0"," 0.00","49.022","0.0","  0.13","15.555555","2.7777777","10.1"," 1.3","11.666667","-1.6666666","2023-01-17"
"2023-1-18"," 0.00","3.556"," 0.00"," 0.00","0.0","11.938","0.0","0.0","7.62","  0.01","10.555555","1.1111112","12.6","-0.5","11.666667","-1.6666666","2023-01-18"
"2023-1-19","17.44","12.954","12.38","15.53","15.24","0.0","9.398","7.62","7.874"," 10.66","12.777778","1.1111112"," 8.1"," 0.0","10.0","-0.5555556","2023-01-19"
"2023-1-20"," 0.00","0.0"," 0.00"," 0.00","0.0","0.254","0.0","0.0","0.254","  0.00","17.777779","0.5555556","10.5","-0.9","13.888889","-3.3333333","2023-01-20"
"2023-1-21"," 0.00","0.254"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","15.555555","-0.5555556","12.9","-1.6","14.444445","-2.7777777","2023-01-21"
"2023-1-22"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","16.11111","3.3333333","13.9","-0.9","14.444445","-1.1111112","2023-01-22"
"2023-1-23"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","22.777779","2.2222223","14.0"," 0.8","16.666666","-1.6666666","2023-01-23"
"2023-1-24"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","18.88889","2.2222223","17.8"," 0.7","22.222221","-0.5555556","2023-01-24"
"2023-1-25"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","25.555555","1.6666666","20.9"," 1.2","22.222221","-0.5555556","2023-01-25"
"2023-1-26"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","25.0","5.5555553","20.8"," 2.0","21.666666","-0.5555556","2023-01-26"
"2023-1-27"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","17.777779","1.6666666","21.3"," 1.6","20.0","-0.5555556","2023-01-27"
