"Date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
2023-04-01,200.2,210.9,27.44,154.2,190.7,406.8,55.83,221.8,207.1,102.2,163.5,145.3,5.493,110.1,39.15,137.6,44.12,194.7,42.94,279.3,217.6,408.2
2023-04-02,179.3,197.7,25.44,136.7,177.3,374.8,50.53,203,192.5,94.21,152.3,134.3,4.821,99.77,36.2,124.2,40.53,182.7,39.38,252.6,201.4,371.4
2023-04-03,162.4,186.4,23.73,123,166.1,348.6,47.15,188.7,180.8,88.06,143.9,125.5,4.324,92.71,33.98,114.7,37.75,172.6,36.56,233.2,188.8,343.5
2023-04-04,147.6,176.2,22.24,110.9,156.2,325.1,44.56,176.6,170.4,82.71,136.7,117.8,3.886,86.59,32.01,106.5,35.29,163.5,34.05,216.7,177.6,319.3
2023-04-05,135.4,167,20.91,100.8,147.5,304.7,41.81,165.4,160.9,77.88,130.1,111,3.507,80.93,30.25,99.06,33.13,155.1,31.81,201.6,167.5,298.1
2023-04-06,124.7,158.6,19.71,92.23,139.7,286.6,39.3,155.3,152.5,73.6,124.1,104.8,3.184,76.04,28.68,92.67,31.25,147.4,29.81,188.5,158.5,279.4
2023-04-07,115.1,150.9,18.62,84.48,132.6,270.1,36.93,146.1,144.7,69.68,118.6,99.2,2.893,71.49,27.24,86.84,29.53,140.3,28,176.4,150.2,262.7
2023-04-08,106.9,143.7,17.62,77.97,126.1,255.5,34.93,137.8,137.6,66.14,113.6,94.08,2.646,67.59,25.93,81.77,28,133.5,26.35,165.8,142.7,248.5
2023-04-09,99.65,137,16.69,72.23,120.1,241.8,32.84,129.9,130.9,62.86,108.9,89.34,2.432,63.85,24.7,77.05,26.59,127.1,24.84,155.9,135.7,234.9
2023-04-10,93.08,130.7,15.83,67.1,114.6,229.4,31.05,122.7,124.8,59.83,104.6,84.95,2.242,60.56,23.56,72.84,25.3,121.1,23.45,147,129.2,223
2023-04-11,87.02,124.7,15.03,62.39,109.4,217.8,29.36,116.1,119,57,100.4,80.85,2.074,57.51,22.49,68.98,24.11,115.3,22.15,138.7,123.1,212.1
2023-04-12,81.6,119,14.27,58.21,104.5,207,27.75,109.8,113.5,54.35,96.53,77.01,1.924,54.72,21.49,65.46,23,109.9,20.94,131.1,117.4,202
2023-04-13,76.73,113.7,13.57,54.48,99.86,196.9,26.24,104,108.4,51.85,92.81,73.39,1.788,52.19,20.54,62.22,21.97,104.7,19.81,124.1,112,192.9
2023-04-14,72.3,108.5,12.9,51.13,95.49,187.5,24.85,98.49,103.5,49.47,89.24,69.96,1.665,49.84,19.64,59.22,21,99.7,18.74,117.6,106.9,184.4
2023-04-15,68.25,103.6,12.27,48.1,91.33,178.6,23.53,93.33,98.79,47.22,85.82,66.72,1.553,47.65,18.78,56.43,20.08,94.96,17.73,111.5,102,176.5
2023-04-16,64.48,98.96,11.68,45.3,87.38,170.1,22.3,88.46,94.34,45.07,82.52,63.65,1.451,45.59,17.97,53.8,19.22,90.42,16.78,105.8,97.36,169.1
2023-04-17,60.99,94.48,11.12,42.73,83.6,162.1,21.12,83.85,90.09,43.02,79.34,60.73,1.358,43.64,17.18,51.34,18.4,86.07,15.88,100.4,92.93,162.1
2023-04-18,57.75,90.2,10.58,40.36,79.98,154.5,20.01,79.48,86.03,41.06,76.26,57.95,1.272,41.79,16.43,49.01,17.62,81.9,15.02,95.34,88.69,155.5
2023-04-19,54.72,86.1,10.08,38.17,76.52,147.3,18.95,75.35,82.14,39.18,73.28,55.3,1.194,40.03,15.71,46.81,16.87,77.91,14.21,90.54,84.63,149.3
