tmin 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2022,3,1,0,0,0,-999,0,-999,-999,0,0,0,0,-999,-999,-999,22.222221,-999,-999,23.88889,24.444445,24.444445,16.11111,-999,-999,-999,3.3333333,-999,-999,5,4.4444447,3.3333333,5,-999,-999
2022,3,2,0,0,0,-999,0,-999,-999,0,0,0,0.508,-999,-999,-999,21.11111,-999,-999,24.444445,23.333334,24.444445,13.888889,-999,-999,-999,4.4444447,-999,-999,6.111111,5.5555553,4.4444447,6.111111,-999,-999
2022,3,3,0,0,0,-999,2.794,-999,0,6.35,2.54,-999,8.128,-999,-999,-999,21.11111,-999,-999,22.222221,15,-999,12.222222,-999,-999,-999,7.2222223,-999,-999,6.6666665,7.7777777,-999,7.2222223,-999,-999
2022,3,4,0,0,0,-999,1.778,-999,4.064,1.524,0,-999,2.54,-999,-999,-999,13.333333,-999,-999,17.222221,15.555555,-999,13.333333,-999,-999,-999,6.111111,-999,-999,7.2222223,5,-999,6.6666665,-999,-999
2022,3,5,0,0,0,-999,0.254,-999,2.032,0.508,0,-999,3.556,-999,-999,-999,13.333333,-999,-999,17.777779,15,-999,11.666667,-999,-999,-999,-1.6666666,-999,-999,0.5555556,4.4444447,-999,3.8888888,-999,-999
2022,3,6,0,0,0,-999,0.254,-999,-999,0,0,-999,0,-999,-999,-999,17.222221,-999,-999,22.222221,18.88889,-999,12.222222,-999,-999,-999,-2.2222223,-999,-999,0.5555556,3.8888888,-999,3.8888888,-999,-999
2022,3,7,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,22.777779,-999,-999,23.88889,23.88889,-999,12.777778,-999,-999,-999,-1.6666666,-999,-999,3.3333333,2.2222223,-999,3.8888888,-999,-999
2022,3,8,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,23.88889,-999,-999,18.88889,26.11111,-999,17.777779,-999,-999,-999,5.68E-14,-999,-999,7.2222223,5.5555553,-999,6.111111,-999,-999
2022,3,9,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,19.444445,-999,-999,24.444445,21.666666,-999,18.88889,-999,-999,-999,1.6666666,-999,-999,0.5555556,10.555555,-999,8.888889,-999,-999
2022,3,10,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,20.555555,-999,-999,19.444445,23.88889,-999,13.333333,-999,-999,-999,-0.5555556,-999,-999,2.2222223,6.111111,-999,3.8888888,-999,-999
