########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2022,5,1,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,20.555555,-999,-999,21.11111,28.88889,23.333334,15.555555,27.222221,-999,-999,6.111111,-999,-999,6.6666665,9.444445,6.6666665,7.2222223,3.3333333,-999
2022,5,2,0,0,0,-999,0,-999,0,0,0,0,0,0,-999,-999,24.444445,-999,-999,27.222221,20,27.222221,16.11111,22.222221,-999,-999,7.2222223,-999,-999,7.7777777,9.444445,7.2222223,7.7777777,4.4444447,-999
2022,5,3,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,25.555555,-999,-999,18.333334,29.444445,21.11111,15,29.444445,-999,-999,2.2222223,-999,-999,5.5555553,8.888889,8.333333,7.7777777,2.2222223,-999
2022,5,4,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,30.555555,-999,-999,27.777779,31.11111,28.88889,16.11111,27.777779,-999,-999,5.5555553,-999,-999,6.6666665,7.7777777,7.7777777,5.5555553,5,-999
2022,5,5,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,30.555555,-999,-999,30.555555,21.11111,27.777779,13.888889,22.222221,-999,-999,9.444445,-999,-999,8.333333,8.888889,8.333333,6.6666665,8.888889,-999
2022,5,6,0,0,0,-999,2.794,-999,1.27,0,0,0,4.572,0,-999,-999,18.333334,-999,-999,25,21.11111,20.555555,14.444445,22.222221,-999,-999,12.777778,-999,-999,8.333333,12.222222,9.444445,10,10,-999
2022,5,7,0,0,0,-999,0.254,-999,0.508,0,0,0,2.54,0,-999,-999,18.333334,-999,-999,20,21.11111,20.555555,15,23.88889,-999,-999,7.7777777,-999,-999,9.444445,9.444445,10.555555,9.444445,8.888889,-999
2022,5,8,0,0,0,-999,7.366,-999,-999,0,0.254,0,0,0,-999,-999,18.333334,-999,-999,19.444445,15,21.666666,12.777778,18.88889,-999,-999,2.2222223,-999,-999,3.3333333,6.6666665,6.111111,5,5.5555553,-999
2022,5,9,0,0,0,-999,7.874,-999,20.574,6.35,2.286,0.508,3.81,0,-999,-999,10.555555,-999,-999,13.888889,15,16.11111,13.888889,18.88889,-999,-999,3.8888888,-999,-999,2.2222223,2.7777777,3.8888888,5,2.7777777,-999
2022,5,10,0,0,0,-999,1.524,-999,0.254,1.27,0,0.508,0,0,-999,-999,13.333333,-999,-999,16.666666,17.222221,14.444445,12.222222,20.555555,-999,-999,5.68E-14,-999,-999,0.5555556,1.6666666,1.6666666,3.3333333,1.1111112,-999
2022,5,11,0,0,0,-999,0,-999,-999,0,0,3.556,0,0,-999,-999,17.777779,-999,-999,19.444445,21.666666,17.222221,12.222222,22.777779,-999,-999,0.5555556,-999,-999,3.3333333,4.4444447,1.6666666,4.4444447,1.1111112,-999
2022,5,12,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,18.88889,-999,-999,20,21.666666,21.11111,13.333333,22.222221,-999,-999,2.2222223,-999,-999,5.5555553,5,3.3333333,6.6666665,2.2222223,-999
2022,5,13,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,22.222221,-999,-999,25,26.666666,21.11111,14.444445,27.777779,-999,-999,6.111111,-999,-999,7.2222223,8.333333,4.4444447,8.333333,6.6666665,-999
2022,5,14,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,22.222221,-999,-999,30,32.77778,26.666666,16.666666,31.11111,-999,-999,6.111111,-999,-999,10.555555,13.888889,8.888889,10,8.888889,-999
2022,5,15,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,28.333334,-999,-999,27.222221,28.333334,31.11111,15.555555,28.88889,-999,-999,7.7777777,-999,-999,11.666667,12.222222,11.111111,7.2222223,10,-999
2022,5,16,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,25.555555,-999,-999,24.444445,27.222221,28.88889,15.555555,27.777779,-999,-999,5.5555553,-999,-999,10.555555,10,10,7.2222223,8.888889,-999
2022,5,17,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,27.222221,-999,-999,28.88889,30,26.666666,15.555555,29.444445,-999,-999,5.5555553,-999,-999,10,7.7777777,8.333333,6.6666665,5.5555553,-999
2022,5,18,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,30,-999,-999,24.444445,33.333332,29.444445,18.333334,35.555557,-999,-999,7.2222223,-999,-999,11.666667,15,9.444445,8.333333,7.2222223,-999
2022,5,19,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,27.222221,-999,-999,31.11111,29.444445,33.88889,21.666666,32.77778,-999,-999,10.555555,-999,-999,14.444445,13.888889,10,9.444445,12.222222,-999
2022,5,20,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,26.11111,-999,-999,27.777779,28.88889,30.555555,17.222221,28.333334,-999,-999,2.7777777,-999,-999,6.111111,10.555555,13.333333,7.2222223,5,-999
2022,5,21,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,27.777779,-999,-999,27.777779,29.444445,26.11111,18.333334,30,-999,-999,5,-999,-999,8.333333,13.333333,10.555555,5.5555553,5.5555553,-999
2022,5,22,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,28.333334,-999,-999,28.88889,31.11111,30,16.11111,32.22222,-999,-999,6.6666665,-999,-999,8.333333,8.333333,8.888889,6.6666665,6.6666665,-999
2022,5,23,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,30,-999,-999,28.88889,32.22222,30.555555,15,35,-999,-999,7.2222223,-999,-999,12.777778,16.666666,10.555555,8.888889,8.333333,-999
2022,5,24,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,33.88889,-999,-999,30,37.22222,32.22222,16.666666,37.22222,-999,-999,8.333333,-999,-999,13.333333,17.222221,13.333333,7.2222223,10,-999
2022,5,25,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,36.11111,-999,-999,35,36.666668,36.666668,20,33.333332,-999,-999,10.555555,-999,-999,13.888889,12.777778,15.555555,9.444445,11.111111,-999
2022,5,26,0,0,0,-999,0,-999,-999,0,0,0,0,0,-999,-999,32.77778,-999,-999,36.666668,18.88889,36.666668,20,18.88889,-999,-999,9.444445,-999,-999,14.444445,9.444445,10.555555,9.444445,9.444445,-999
2022,5,27,0,0,0,-999,0,-999,-999,0,0,0,12.7,0,-999,-999,25.555555,-999,-999,21.11111,21.11111,17.777779,13.333333,21.666666,-999,-999,10,-999,-999,11.111111,11.666667,11.666667,10,11.666667,-999
2022,5,28,0,0,0,-999,0.508,-999,0,0,0,0,0,0,-999,-999,22.222221,-999,-999,23.88889,21.11111,21.666666,13.888889,23.88889,-999,-999,8.333333,-999,-999,8.888889,10.555555,11.666667,9.444445,8.888889,-999
