STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,ELEVATION_FT
USC00049684,WILLITS 1 NE,39.4194,-123.3425,1353
USC00043875,Healdsburg,38.6294,-122.8665,177
USC00041312,Calistoga,38.5961,-122.6013,400
USC00043191,Fort Ross,38.515,-123.2447,112
USC00043578,Graton,38.4305,-122.8647,200
USC00046370,Occidental,38.3858,-122.9661,865
USC00047109,Potter Valley Powerhouse,39.3619,-123.1286,1018
USC00049122,UKIAH,39.1466,-123.2102,636
USC00049124,UKIAH 4 WSW,39.1266,-123.2719,1328
USC00041838,Cloverdale,38.793,-123.0263,400
