LATITUDE,LONGITUDE,ID,PRMS_PRECIP_NAME,PRMS_TMIN_NAME,PRMS_TMAX_NAME
39.4194,-123.3425,NOAA_USC00049684,PRECIP1,,
39.3619,-123.1286,NOAA_USC00047109,PRECIP2,TMIN6,TMAX6
39.1466,-123.2102,NOAA_USC00049122,PRECIP3,TMIN2,TMAX2
39.12583333,-123.0736111,RAWS_CLYO,PRECIP4,TMIN7,TMAX7
39.1266,-123.2719,NOAA_USC00049124,PRECIP5,,
39.006747,-123.08012,CIMIS_85,PRECIP6,,
38.9875,-123.3486111,RAWS_CBOO,PRECIP7,,
38.79296,-123.0263,NOAA_USC00041838,PRECIP8,,
38.78166667,-122.9169444,RAWS_CHAW,PRECIP9,TMIN5,TMAX5
38.62935,-122.86646,NOAA_USC00043875,PRECIP10,TMIN1,TMAX1
38.57682,-122.57811,NOAA_USC00041312,PRECIP11,,
38.52665,-122.813758,CIMIS_103,PRECIP12,,
38.515,-123.2447,NOAA_USC00043191,PRECIP13,,
38.4305,-122.8647,NOAA_USC00043578,PRECIP14,,
38.3858,-122.9661,NOAA_USC00046370,PRECIP15,,
38.982581,-123.08928,CIMIS_106,,TMIN3,TMAX3
38.40355,-122.79993,CIMIS_83,,TMIN4,TMAX4
38.47861111,-122.7119444,RAWS_CSRS,,TMIN8,TMAX8
