Month,1,2,3,4,5,6
1,0.966326612,0.97227919,0.950053108,0.959676557,0.947081465,0.953399551
2,0.978038639,0.981062202,0.954151444,0.972169588,0.957071647,0.964773654
3,0.950476889,0.958775975,0.91733517,0.941540029,0.920668887,0.934545284
4,0.919738555,0.936231296,0.879638189,0.903165869,0.877497912,0.886599161
5,0.880254945,0.910519914,0.85161905,0.860373933,0.837665684,0.836360044
6,0.63408414,0.829594653,0.588895222,0.675363126,0.596690588,0.578752848
7,0.452580008,0.797847729,0.463149959,0.595512559,0.496905981,0.440373924
8,0.35799437,0.78236832,0.371222498,0.539327129,0.442686105,0.36511863
9,0.499387188,0.782525771,0.521263225,0.55476259,0.463997034,0.392586583
10,0.929270326,0.891881811,0.888523177,0.826777054,0.818296583,0.807063317
11,0.979305711,0.948863359,0.941407981,0.929991954,0.922199438,0.928329553
12,0.97980836,0.978352042,0.963633316,0.970964921,0.962002243,0.967699084
