year,month,day,hour,min,sec,precip01,precip02,tmax01,tmax02,tmin01,tmin02,date
1947,10,1,0,0,0,0,0,78.27,77.64,46.6,43.71,10/1/1947
1947,10,2,0,0,0,0,0,85.87,86.19,50.01,49.04,10/2/1947
1947,10,3,0,0,0,0,0,95.1,94.41,52.37,49.41,10/3/1947
1947,10,4,0,0,0,0,0,91.62,92.46,49.18,49.69,10/4/1947
1947,10,5,0,0,0,0,0,74.17,71.26,51.24,50.28,10/5/1947
1947,10,6,0,0,0,0,0,69.44,71.39,49.66,49.6,10/6/1947
1947,10,7,0,0,0,0.68,0.504,60.81,60.36,48.53,48.08,10/7/1947
1947,10,8,0,0,0,0,0,69.3,70.14,48.09,48.55,10/8/1947
1947,10,9,0,0,0,0.912,0.848,62.4,63.26,48.49,48.49,10/9/1947
1947,10,10,0,0,0,1.267,1.408,59.49,60.39,52.04,51.08,10/10/1947
1947,10,11,0,0,0,0,0.01,71.89,73.67,46.17,42.78,10/11/1947
1947,10,12,0,0,0,0,0,85.88,85.2,50.33,52.75,10/12/1947
1947,10,13,0,0,0,0,0,80.53,78.98,49.25,49.83,10/13/1947
1947,10,14,0,0,0,0,0,68.61,70.62,52.11,51.64,10/14/1947
1947,10,15,0,0,0,0.022,0,65.59,68.93,54.98,54,10/15/1947
1947,10,16,0,0,0,1.348,1.043,70.35,71.19,51.94,51.9,10/16/1947
1947,10,17,0,0,0,0,0,73.32,74.15,43.72,43.72,10/17/1947
1947,10,18,0,0,0,0,0,74.95,76.72,43.78,43.77,10/18/1947
1947,10,19,0,0,0,0,0,77.68,78.99,45.54,45.09,10/19/1947
1947,10,20,0,0,0,0.046,0.103,67.59,71.73,51.5,52.85,10/20/1947
1947,10,21,0,0,0,0.012,0.021,69.54,69.8,47.4,46.92,10/21/1947
1947,10,22,0,0,0,0,0,64.95,66.73,40.69,40.74,10/22/1947
1947,10,23,0,0,0,0,0,71.68,72,40.17,39.25,10/23/1947
1947,10,24,0,0,0,0,0,76.47,77.73,44.64,41.73,10/24/1947
1947,10,25,0,0,0,0,0,76.65,77.96,46.27,45.77,10/25/1947
1947,10,26,0,0,0,0,0,73.69,74.99,40.88,40.93,10/26/1947
1947,10,27,0,0,0,0,0,64.37,64.32,45.87,46.29,10/27/1947
1947,10,28,0,0,0,0.512,0.381,56.37,55.78,43.24,42.76,10/28/1947
1947,10,29,0,0,0,0.9,0.671,64.93,66.7,51.62,51.59,10/29/1947
1947,10,30,0,0,0,0,0,66.9,67.23,44.96,46.93,10/30/1947
1947,10,31,0,0,0,0,0,68.99,70.79,40.09,39.16,10/31/1947
1947,11,1,0,0,0,0.55,0.726,63.64,63.25,50.62,49.87,11/1/1947
1947,11,2,0,0,0,0,0,65.08,65.21,40.14,37.09,11/2/1947
1947,11,3,0,0,0,0,0,69.43,68.96,44.8,41.25,11/3/1947
1947,11,4,0,0,0,0,0,62.47,63.09,44.38,44.19,11/4/1947
1947,11,5,0,0,0,0,0,61.88,63.02,37.57,36.88,11/5/1947
1947,11,6,0,0,0,0,0,67.38,66.95,38.6,34.64,11/6/1947
1947,11,7,0,0,0,0,0,69.98,68.62,35.58,35.47,11/7/1947
1947,11,8,0,0,0,0,0,68.46,69.05,34.54,33,11/8/1947
1947,11,9,0,0,0,0,0,67.16,67.71,42.9,43.26,11/9/1947
1947,11,10,0,0,0,0,0,70.44,71.03,40.09,38.68,11/10/1947
1947,11,11,0,0,0,0,0,68.25,67.39,37.82,36.81,11/11/1947
1947,11,12,0,0,0,0,0,65.53,65.16,39.86,40.75,11/12/1947
1947,11,13,0,0,0,0,0,63.19,62.29,31.82,32.2,11/13/1947
1947,11,14,0,0,0,0,0,64.2,63.32,34.89,39.14,11/14/1947
1947,11,15,0,0,0,0.374,0.126,55.1,53.78,46.74,47.06,11/15/1947
1947,11,16,0,0,0,0.232,0.537,64.29,63.36,41.08,40.51,11/16/1947
1947,11,17,0,0,0,0,0,58.44,57.63,36.36,35.85,11/17/1947
1947,11,18,0,0,0,0,0,64.06,64.16,35.37,34.8,11/18/1947
1947,11,19,0,0,0,0,0,63.77,63.82,36.04,34.98,11/19/1947
1947,11,20,0,0,0,0,0,64.26,63.4,30.32,30.18,11/20/1947
1947,11,21,0,0,0,0,0,59.02,59.12,30.32,30.18,11/21/1947
1947,11,22,0,0,0,0,0,58.01,58.12,28.27,30.16,11/22/1947
1947,11,23,0,0,0,0,0,60.42,59.55,28.19,29.44,11/23/1947
1947,11,24,0,0,0,0,0,59.37,59.54,29.15,28.6,11/24/1947
1947,11,25,0,0,0,0,0,63.43,64.04,33.14,32.54,11/25/1947
1947,11,26,0,0,0,0,0,64.51,64.72,34.07,33.47,11/26/1947
1947,11,27,0,0,0,0,0,67.25,66.97,37.58,37.48,11/27/1947
1947,11,28,0,0,0,0,0,63,64.17,39.47,40.39,11/28/1947
1947,11,29,0,0,0,0,0,59.6,58.81,41.61,42.94,11/29/1947
1947,11,30,0,0,0,0.016,0,56.08,55.77,49.47,49.74,11/30/1947
1947,12,1,0,0,0,0,0,63.84,64.55,43.69,38.57,12/1/1947
1947,12,2,0,0,0,0,0,70.98,72.55,38.31,38.72,12/2/1947
1947,12,3,0,0,0,0,0,61.98,61.73,33.03,33.33,12/3/1947
1947,12,4,0,0,0,0,0.011,53.95,55.12,33.46,35.69,12/4/1947
1947,12,5,0,0,0,0,0,60.79,60.46,28.47,27.83,12/5/1947
1947,12,6,0,0,0,0,0,56.29,56.49,29.72,30.98,12/6/1947
1947,12,7,0,0,0,0,0,54.38,53.18,29.06,29.35,12/7/1947
1947,12,8,0,0,0,0,0,58.51,59.17,29.92,30.18,12/8/1947
1947,12,9,0,0,0,0,0,56.14,56.29,26.39,27.18,12/9/1947
1947,12,10,0,0,0,0,0,56.99,56.73,29.82,28.26,12/10/1947
1947,12,11,0,0,0,0.049,0.037,52.41,53.66,35.16,34.44,12/11/1947
1947,12,12,0,0,0,0,0,53.68,54.38,36.63,36.81,12/12/1947
1947,12,13,0,0,0,0,0,57.88,57.18,28.88,27.71,12/13/1947
1947,12,14,0,0,0,0,0,62.78,60.99,30.61,30.39,12/14/1947
1947,12,15,0,0,0,0,0,58.34,57.51,37.83,36.66,12/15/1947
1947,12,16,0,0,0,0,0,56.59,55.41,37.73,36.1,12/16/1947
1947,12,17,0,0,0,0.554,0.534,56.4,56.63,41.8,43.04,12/17/1947
1947,12,18,0,0,0,0,0,52.84,52.54,31.74,33,12/18/1947
1947,12,19,0,0,0,0,0,56.5,56.15,40.24,39.95,12/19/1947
1947,12,20,0,0,0,1.029,0.686,53.02,54.62,45.65,45.85,12/20/1947
1947,12,21,0,0,0,0.053,0.06,53.11,54.31,39.69,40.51,12/21/1947
1947,12,22,0,0,0,0.014,0.034,59.85,59.53,42.89,45.57,12/22/1947
1947,12,23,0,0,0,0,0,56.29,56.07,39.97,39.22,12/23/1947
1947,12,24,0,0,0,0,0,54.66,55.51,34.54,37.2,12/24/1947
1947,12,25,0,0,0,0,0,51.98,52.3,35.77,36.4,12/25/1947
1947,12,26,0,0,0,0,0,48.42,49.69,34.38,35.53,12/26/1947
1947,12,27,0,0,0,0,0,46.6,47.3,34.21,33.49,12/27/1947
1947,12,28,0,0,0,0,0,58.46,59.11,35.81,37.07,12/28/1947
1947,12,29,0,0,0,0,0,55.85,55.55,34.94,30.28,12/29/1947
1947,12,30,0,0,0,0,0,56.72,55.99,26.82,26.65,12/30/1947
1947,12,31,0,0,0,0,0,50.32,50.56,29.61,29.39,12/31/1947
1948,1,1,0,0,0,0.471,0.481,47.95,49.25,41.72,42.47,1/1/1948
1948,1,2,0,0,0,0.534,0.893,59.86,59.6,43.8,41.69,1/2/1948
1948,1,3,0,0,0,0,0.019,57.2,57.07,43.49,42.37,1/3/1948
1948,1,4,0,0,0,0.721,0.622,57.85,58.68,52.05,51.84,1/4/1948
1948,1,5,0,0,0,0.454,0.645,61.44,63.61,52.78,52.09,1/5/1948
1948,1,6,0,0,0,0.201,0.099,59.41,59.71,52.13,50.89,1/6/1948
