"Date","DOWNSIZER_PRECIP1","DOWNSIZER_PRECIP2","DOWNSIZER_PRECIP3","DOWNSIZER_PRECIP5","DOWNSIZER_PRECIP8","DOWNSIZER_PRECIP10","DOWNSIZER_PRECIP11","DOWNSIZER_PRECIP13","DOWNSIZER_PRECIP14","DOWNSIZER_PRECIP15","DOWNSIZER_TMAX1","DOWNSIZER_TMAX2","DOWNSIZER_TMAX6","DOWNSIZER_TMIN1","DOWNSIZER_TMIN2","DOWNSIZER_TMIN6"
2023-05-08,"8.08","7.366","4.23","6.53","5.08","5.08","2.286","4.826","4.826","4.54","19.444445","16.6","17.222221","7.7777777"," 5.8","7.7777777"
2023-05-09,"5.28","0.0","0.90","2.75","0.0","0.0","0.0","0.0","0.0","0.08","22.777779","15.3","20.0","6.6666665"," 6.6","5.0"
2023-05-10,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","21.11111","20.3","20.555555","6.111111"," 6.0","3.8888888"
2023-05-11,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.333334","20.2","22.777779","6.6666665"," 6.0","7.2222223"
2023-05-12,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.254","0.0","0.00","27.222221","23.4","29.444445","8.333333"," 7.8","6.6666665"
2023-05-13,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","32.22222","30.6","35.555557","9.444445"," 8.1","10.0"
2023-05-14,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.777779","34.6","34.444443","10.555555","11.7","9.444445"
2023-05-15,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","25.0","28.8","30.0","11.666667","11.2","9.444445"
2023-05-16,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.254","0.00","30.0","26.9","32.22222","11.111111","11.0","9.444445"
2023-05-17,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","27.222221","31.9","33.333332","10.555555","11.1","10.0"
2023-05-18,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.254","0.254","0.00","26.11111","31.8","32.77778","10.555555","11.0","9.444445"
2023-05-19,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","25.0","29.6","30.0","9.444445","10.2","9.444445"
2023-05-20,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.777779","29.5","30.0","10.0"," 9.9","9.444445"
2023-05-21,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.254","0.00","27.777779","29.9","30.0","11.666667"," 9.8","9.444445"
2023-05-22,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","29.444445","29.7","31.11111","10.555555","10.1","10.0"
2023-05-23,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.88889","30.7","29.444445","10.0","10.9","11.111111"
2023-05-24,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.222221","28.9","29.444445","8.888889"," 8.9","7.7777777"
2023-05-25,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","18.88889","26.2","27.222221","10.0"," 8.5","15.555555"
2023-05-26,"0.00","0.0","0.00","0.00","0.0","0.254","0.0","1.27","0.254","0.29","17.777779","25.3","25.555555","10.555555"," 9.3","10.0"
2023-05-27,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","1.27","0.254","0.33","20.555555","24.0","27.222221","10.555555"," 9.9","8.888889"
2023-05-28,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.777779","26.9","27.222221","11.111111","10.2","12.222222"
2023-05-29,"3.42","0.0","1.88","6.16","0.0","0.0","0.0","0.0","0.254","0.06","16.11111","27.0","27.222221","10.555555","11.0","9.444445"
2023-05-30,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.20","20.0","21.3","22.777779","11.666667","10.6","11.666667"
2023-05-31,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.88889","23.1","26.666666","11.111111","10.0","10.0"
2023-06-01,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.254","0.00","25.0","26.7","27.777779","7.7777777"," 8.9","7.2222223"
2023-06-02,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","27.777779","26.1","28.333334","7.7777777"," 8.3","6.111111"
2023-06-03,"0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","30.0","29.0","27.5","8.888889"," 7.6"," 5.4"
2023-06-04,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","30.0","31.8","34.444443","10.0","11.1","10.0"
2023-06-05,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","20.555555","34.1","34.444443","10.0","11.9","13.333333"
2023-06-06,"0.00","0.0","0.00","0.00","0.0","0.254","0.0","0.0","0.254","0.51","17.777779","30.1","29.444445","12.222222","11.6","11.111111"
2023-06-07,"0.00","0.0","0.18","0.01","0.0","0.0","0.0","0.0","0.0","0.14","17.222221","21.1","25.0","12.222222","11.6","12.222222"
2023-06-08,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.777779","22.3","26.11111","12.222222","12.4","13.888889"
2023-06-09,"0.27","0.0","0.00","0.07","0.0","0.0","0.0","0.0","0.0","0.00","22.222221","25.3","26.11111","11.111111","12.8","12.777778"
2023-06-10,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.88889","24.1","30.555555","11.666667"," 9.7","8.888889"
2023-06-11,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.222221","30.1","30.555555","11.666667"," 9.4","15.555555"
2023-06-12,"0.02","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.254","0.33","22.222221","28.7","28.88889","11.666667","11.8","12.222222"
2023-06-13,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.222221","25.9","29.444445","12.222222","11.6","10.555555"
2023-06-14,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","25.0","28.2","30.555555","11.666667","11.3","11.111111"
2023-06-15,"0.00","0.0","0.01","0.00","0.0","0.0","0.0","0.0","0.0","0.00","24.444445","30.7","32.22222","11.666667","11.5","12.222222"
2023-06-16,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.88889","31.9","35.0","11.666667","12.9","11.666667"
2023-06-17,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.88889","34.2","33.88889","12.777778","12.3","12.222222"
2023-06-18,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","28.333334","31.4","31.666666","12.222222","11.8","11.666667"
2023-06-19,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","21.666666","24.4","25.0","11.111111"," 9.6","9.444445"
2023-06-20,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","26.11111","18.7","22.777779","10.0"," 7.6","3.8888888"
2023-06-21,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","27.222221","22.2","27.222221","8.333333"," 6.3","5.5555553"
2023-06-22,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","20.0","27.4","27.222221","10.555555"," 7.8","6.111111"
2023-06-23,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.777779","24.3","25.0","12.777778"," 8.8","10.0"
2023-06-24,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","23.333334","25.3","27.777779","11.111111","10.3","8.888889"
2023-06-25,"0.00","0.0","0.00","0.00","0.0","0.0","0.0","0.0","0.0","0.00","22.222221","27.4","28.333334","12.222222","10.4","9.444445"
