"Date","CIMIS_083_ppt","CIMIS_083_tmin","CIMIS_083_tmax","CIMIS_103_ppt","CIMIS_103_tmin","CIMIS_103_tmax"
2023-05-08,0.17,39.9,62.9,0.12,40.7,63.3
2023-05-09,0,43.3,64.2,0.03,45.6,65
2023-05-10,0,40.7,68.2,0,43.2,69.5
2023-05-11,0,39.3,65.4,0,41.8,67.4
2023-05-12,0,42.1,69.8,0,43.3,71.4
2023-05-13,0,41.7,74.2,0,44.4,77.1
2023-05-14,0,43.4,85.5,0,46.9,87.1
2023-05-15,0,46.5,68.3,0,48.9,70
2023-05-16,0,48.4,71.8,0,51.8,73.8
2023-05-17,0,50.3,80,0,50.7,83.5
2023-05-18,0,50.1,73.3,0,49.9,76.8
2023-05-19,0,46.1,71.6,0,47.6,75
2023-05-20,0,45.7,71.7,0,48.3,73.6
2023-05-21,0,50.2,67.6,0,51.3,69.4
2023-05-22,0,45.3,76.7,0,47.7,79.1
2023-05-23,0,45,77.8,0,47.4,80.3
2023-05-24,0,45.5,69.8,0,47.1,71.5
2023-05-25,0,49.8,66.4,0,50.3,68.3
2023-05-26,0,51.1,62.4,0,51.1,63.6
2023-05-27,0.01,51.3,61.6,0,51.1,62.8
2023-05-28,0,51.4,64.2,0,51.1,66.3
2023-05-29,0.02,51.8,66.5,0,51.5,69.4
2023-05-30,0,52.1,60.8,0,51.9,60.9
2023-05-31,0,50.5,63.2,0,51,64.9
2023-06-01,0,43.2,69.8,0,44.1,71.9
2023-06-02,0,41.6,72.9,0,43.3,74.9
2023-06-03,0,41,75.7,0,43.5,78.5
2023-06-04,0,43.8,79.4,0,45.7,82.4
2023-06-05,0,45.1,78.6,0,47.1,82.1
2023-06-06,0,50.8,64.9,0.01,50.4,65.6
2023-06-07,0,54.3,64.4,0.02,54.2,63.9
2023-06-08,0,55.9,62.5,0,56,62.5
2023-06-09,0,52.9,68.4,0,53.5,70.6
2023-06-10,0,50.8,66.8,0,52.4,68.7
2023-06-11,0,51.6,68.7,0,52.3,71.5
2023-06-12,0,52.8,67.5,0.01,52.8,68.9
2023-06-13,0,53.7,69.5,0,53.5,69.7
2023-06-14,0,52.1,67.5,0,52.5,69.2
2023-06-15,0,49.8,69.7,0,51.5,72.7
2023-06-16,0,51.4,69.8,0,52.6,73
2023-06-17,0,53.9,69.4,0,53.8,71.8
2023-06-18,0,50.5,69.6,0,51,72.1
2023-06-19,0,49,79.6,0,50.1,83.3
2023-06-20,0,43.1,72,0,46.3,72.8
2023-06-21,0,41.2,73.4,0,44,75.1
2023-06-22,0,43,75.9,0,45,78.4
2023-06-23,0,51.9,64.9,0,52,66.2
2023-06-24,0,52,68.6,0,53,70.5
2023-06-25,0,51.3,68.9,0,52.4,71.1
2023-06-26,0,51.8,66.6,0,52.5,70
2023-06-27,0,50.7,72.7,0,50.7,75.8
2023-06-28,0,51.2,75.1,0,52,78.1
2023-06-29,0,51.2,73.8,0,52,77.6
2023-06-30,0,48.5,79.4,0,50.4,84.2
2023-07-01,0,48.5,85.8,0,50,91
2023-07-02,0,48.5,95.4,0,49.9,99.8
2023-07-03,0,50.5,88.9,0,52.8,95.3
2023-07-04,0,52.3,71.1,0,52.8,75.6
2023-07-05,0,52,68.7,0,52.4,72.9
2023-07-06,0,52.6,66.2,0,53.1,69
2023-07-07,0,52.6,68.6,0,53,72.3
2023-07-08,0,45.5,74.8,0,48.4,78.7
2023-07-09,0,44.1,75.1,0,45.6,78.8
2023-07-10,0,43.7,71.4,0,44.7,74.9
2023-07-11,0,46.6,78.4,0,48.2,82.1
2023-07-12,0,46.2,83.6,0,48,88.1
2023-07-13,0,48.7,78.4,0,49.9,82.8
2023-07-14,0,48.3,84.9,0,49.9,89.2
2023-07-15,0,51.1,85.4,0,52.3,90
2023-07-16,0,52.4,89.8,0,53.6,94.1
2023-07-17,0,52.7,94.3,0,55.7,98
2023-07-18,0,50.2,88.7,0,51.6,91.6
2023-07-19,0,49.5,76.4,0,51.3,79.8
2023-07-20,0,50.2,78.4,0,50.8,82
2023-07-21,0,49.7,86.8,0,50.4,91.5
2023-07-22,0,49.2,90.7,0,50.2,95.7
2023-07-23,0,48.6,93.8,0,51.4,97
2023-07-24,0,49.4,85.5,0,50.1,90.3
2023-07-25,0,50.2,81.9,0,49.5,86
2023-07-26,0,49.6,88.6,0,51.1,92
2023-07-27,0,52.1,79.9,0,52.8,84
2023-07-28,0,50.5,78.1,0,49.5,82.1
2023-07-29,0,50.4,82,0,49.8,85.5
2023-07-30,0,49.4,81.5,0,48.2,85.6
2023-07-31,0,46.4,83.1,0,46.6,87.2
2023-08-01,0,46.7,82.8,0,48.8,83.7
2023-08-02,0,48,74.2,0,51.3,78.3
2023-08-03,0,51.9,75,0,51.8,79.1
2023-08-04,0,50.6,75,0,51.3,80
2023-08-05,0,51.4,80.9,0,52.6,86
2023-08-06,0,51.3,84.2,0,53.4,89
2023-08-07,0,52.1,93.5,0,54.3,97.4
2023-08-08,0,53.4,91.1,0,54.2,94
2023-08-09,0,55.3,74.4,0,55.2,77.7
2023-08-10,0,55,74.2,0,55.2,78.8
2023-08-11,0,56.2,78,0,56.8,81.7
2023-08-12,0,56.5,78.4,0,56.3,82.6
2023-08-13,0,54.6,81.3,0,55.6,86.7
2023-08-14,0,55.4,84.9,0,56.4,88.8
2023-08-15,0,56.2,83.2,0,57.7,87.2
2023-08-16,0,55.6,85.1,0,56.2,89.4
2023-08-17,0,55.3,83.6,0,56.7,86.4
2023-08-18,0,59,77.1,0,59.3,80.2
2023-08-19,0,59.2,74.7,0,59.2,76.6
2023-08-20,0,58.4,75.2,0,58.5,80.4
2023-08-21,0,58.4,84.4,0,59.4,83.3
2023-08-22,0,59.8,74.2,0,60.7,76.5
2023-08-23,0,55.7,79,0,56.7,81.8
2023-08-24,0,54.8,91.2,0,56.6,92.9
2023-08-25,0,57.1,78.6,0,58.4,81.6
2023-08-26,0,54,75.1,0,55.4,78.8
2023-08-27,0,52,76.3,0,54,80.4
2023-08-28,0,54.3,82.7,0,59.8,84.9
2023-08-29,0,57.3,83.3,0,59.7,83.5
2023-08-30,0,62,83.6,0,64.2,85.3
2023-08-31,0,59.8,78.8,0,63.5,80
2023-09-01,0,58.8,66.6,0,59.3,66.5
2023-09-02,0,56.5,68.1,0,57.6,68.2
