Station Name,MesoWest Station ID,RAWS_ID
YNP PORTABLE,YNWC1,
MENDOCINO PASS,MASC1,CMEN
MISSION VALLEY,BVDC1,CMVA
RUTH,RLKC1,CRUT
KNEELAND,KNNC1,CKNE
DENTEN CREEK,MWKC1,
CARPENTER RIDGE,CDEC1,CCRR
TEMESCAL 2  (CNF),TSCC1,
ARBUCKLE BASIN,PLIC1,CABS
SANJOSE,RJSC1,
EL CARISO,ECSC1,CELC
GRASSHOPPER,GRSC1,CGHP
OAKLAND NORTH,ONOC1,COKN
RODEO VALLEY,RDVC1,CROD
BEVERLY HILLS,BVRC1,CBEV
BRAZIE RANCH,BZRC1,CBZE
TRINITY CAMP,TCAC1,CTRI
BARRETT,BAJC1,CBRT
DIABLO GRANDE,DBLC1,CDIA
POPPY PARK,PPPC1,CPOP
OPENSHAW,CICC1,COPS
SCORPION,CFCC1,CSCN
BLUE MTN LOOKOUT,ULBC1,
OAKLAND SOUTH,OKSC1,COKS
BALD MTN LOC,BDMC1,CBAL
BLUE RIDGE (KNF),BUGC1,CBLQ
WEED AIRPORT,WEEC1,CWEE
EEL RIVER (MNF),EELC1,
CAMP 9,CNIC1,CCP9
BRANCH MOUNTAIN,BRHC1,CBRA
EL MIRAGE,EMRC1,CELM
TAHOE DONNER,TADC1,CTDN
LOST HORSE,LTHC1,CLHO
BROOKS,BKSC1,CBRO
CAHUILLA,QCAC1,CCAA
OAK RIDGE,OAAC1,COAR
WESTWOOD,WWDC1,CWES
PANOCHE ROAD,PCEC1,CPRD
WHITMORE,WITC1,CWHT
DEL VALLE,DLVC1,CDVA
QUINCY RD,QYRC1,CQUI
ALTAMONT,AATC1,CATT
MCGUIRES,MCGC1,CMCG
BOONVILLE,BNVC1,CBOO
PALA,PZAC1,CPLA
THOMES CREEK,TCKC1,CTHO
ALCALDE,LDEC1,CALC
SHAVER,SHVC1,CSHA
MOUNTAIN SPRINGS GRADE,TNSC1,CMSG
DEVILS GARDEN,ATSC1,CDGR
BUTTERCUP,BTTC1,CBUU
COHASSET,CSTC1,CCOH
ATLAS PEAK,ATLC1,CATL
OWENS CAMP,OWNC1,COWE
