PRISM Time Series Data
Location:  Lat: 38.4036   Lon: -122.7999   Elev: 112ft
Climate variable: ppt
Spatial resolution: 4km
Period: 2022-12-15 - 2023-01-10
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
2022-12-15,0.00
2022-12-16,0.00
2022-12-17,0.00
2022-12-18,0.00
2022-12-19,0.00
2022-12-20,0.00
2022-12-21,0.00
2022-12-22,0.00
2022-12-23,0.00
2022-12-24,0.00
2022-12-25,0.00
2022-12-26,0.00
2022-12-27,3.14
2022-12-28,0.12
2022-12-29,0.41
2022-12-30,0.85
2022-12-31,1.32
2023-01-01,0.47
2023-01-02,0.00
2023-01-03,0.45
2023-01-04,0.48
2023-01-05,1.69
2023-01-06,0.72
2023-01-07,0.20
2023-01-08,1.67
2023-01-09,2.31
2023-01-10,0.54
