PRISM Time Series Data
Location:  Lat: 38.4036   Lon: -122.7999   Elev: 112ft
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2022-12-15 - 2023-01-10
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmax (degrees F)
2022-12-15,0.00,28.3,54.3
2022-12-16,0.00,28.5,55.0
2022-12-17,0.00,27.3,57.4
2022-12-18,0.00,25.7,57.4
2022-12-19,0.00,25.3,55.2
2022-12-20,0.00,35.5,45.0
2022-12-21,0.00,34.5,54.0
2022-12-22,0.00,33.7,58.7
2022-12-23,0.00,40.0,50.1
2022-12-24,0.00,36.9,56.9
2022-12-25,0.00,40.1,62.4
2022-12-26,0.00,41.3,59.2
2022-12-27,3.14,42.4,57.0
2022-12-28,0.12,37.6,59.2
2022-12-29,0.41,36.9,54.4
2022-12-30,0.85,46.5,52.8
2022-12-31,1.32,51.3,60.5
2023-01-01,0.47,40.3,55.2
2023-01-02,0.00,37.7,62.5
2023-01-03,0.45,38.2,48.5
2023-01-04,0.48,41.2,50.0
2023-01-05,1.69,44.6,56.7
2023-01-06,0.72,44.3,55.7
2023-01-07,0.20,49.2,55.0
2023-01-08,1.67,48.7,54.9
2023-01-09,2.31,47.8,59.1
2023-01-10,0.54,43.3,59.5
