PRISM Time Series Data
Location:  Lat: 38.5268   Lon: -122.8139   Elev: 125ft
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2023-01-11 - 2023-03-23
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-24
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmax (degrees F)
2023-01-11,0.75,45.9,54.0
2023-01-12,1.37,48.8,55.0
2023-01-13,0.34,51.9,64.3
2023-01-14,1.94,50.6,57.2
2023-01-15,0.94,44.6,56.3
2023-01-16,0.49,44.6,52.0
2023-01-17,0.00,34.9,54.4
2023-01-18,0.00,32.0,58.6
2023-01-19,0.33,32.6,51.6
2023-01-20,0.00,32.4,55.0
2023-01-21,0.00,31.2,60.1
2023-01-22,0.00,29.5,59.2
2023-01-23,0.00,33.0,61.9
2023-01-24,0.00,36.1,69.5
2023-01-25,0.00,32.9,65.3
2023-01-26,0.00,32.6,74.2
2023-01-27,0.00,35.7,71.8
2023-01-28,0.00,32.9,62.6
2023-01-29,0.00,31.6,60.7
2023-01-30,0.00,29.8,53.2
2023-01-31,0.00,28.1,59.4
2023-02-01,0.00,26.3,61.4
2023-02-02,0.00,28.3,57.7
2023-02-03,0.71,29.3,56.7
2023-02-04,0.04,43.8,55.6
2023-02-05,0.58,42.9,54.9
2023-02-06,0.21,36.6,52.6
2023-02-07,0.00,32.8,63.8
2023-02-08,0.00,32.9,62.1
2023-02-09,0.00,31.4,66.0
2023-02-10,0.00,32.9,68.0
2023-02-11,0.06,31.1,60.0
2023-02-12,0.00,34.2,58.9
2023-02-13,0.00,32.9,70.7
2023-02-14,0.00,32.9,67.8
2023-02-15,0.00,30.9,52.4
2023-02-16,0.00,27.8,61.9
2023-02-17,0.00,29.2,56.2
2023-02-18,0.00,29.9,64.8
2023-02-19,0.00,28.0,64.2
2023-02-20,0.00,32.1,69.8
2023-02-21,0.00,35.9,71.1
2023-02-22,0.00,38.1,58.2
2023-02-23,0.03,28.8,49.4
2023-02-24,1.12,26.4,47.7
2023-02-25,0.29,32.8,47.3
2023-02-26,0.05,36.2,51.0
2023-02-27,0.35,33.2,52.9
2023-02-28,0.83,33.6,47.9
2023-03-01,0.35,32.9,51.0
2023-03-02,0.00,32.8,57.2
2023-03-03,0.00,32.2,60.2
2023-03-04,0.00,34.2,58.7
2023-03-05,0.88,37.5,51.2
2023-03-06,0.32,34.0,51.1
2023-03-07,0.10,36.6,51.2
2023-03-08,0.37,36.6,53.0
2023-03-09,0.05,35.1,54.3
2023-03-10,3.71,40.1,54.8
2023-03-11,0.03,42.1,57.9
2023-03-12,0.82,45.2,53.4
2023-03-13,0.72,51.9,57.1
2023-03-14,1.01,51.1,58.6
2023-03-15,1.33,38.1,58.8
2023-03-16,0.00,36.3,64.0
2023-03-17,0.00,35.3,63.8
2023-03-18,0.00,37.0,67.0
2023-03-19,0.64,41.5,61.9
2023-03-20,0.26,44.9,54.9
2023-03-21,0.15,40.4,56.2
2023-03-22,1.47,44.2,51.6
2023-03-23,0.09,42.9,58.5
