PRISM Time Series Data
Locations: 8
"Climate variables: tmin,tmax"
Spatial resolution: 4km
Period: 2022-01-01 - 2022-01-03
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,tmin (degrees C),tmax (degrees C)
USC00043875,-122.8665,38.6294,55.0,2022-01-01,0.5,11.9
USC00043875,-122.8665,38.6294,55.0,2022-01-02,-1.0,12.9
USC00043875,-122.8665,38.6294,55.0,2022-01-03,-2.4,11.6

USC00049122,-123.2103,39.1467,293.0,2022-01-01,-1.6,9.8
USC00049122,-123.2103,39.1467,293.0,2022-01-02,-2.6,10.7
USC00049122,-123.2103,39.1467,293.0,2022-01-03,-2.7,9.3

106,-123.0920,38.9830,255.0,2022-01-01,-2.2,10.0
106,-123.0920,38.9830,255.0,2022-01-02,-2.9,11.8
106,-123.0920,38.9830,255.0,2022-01-03,-2.6,10.0

83,-122.7960,38.4010,35.0,2022-01-01,-1.1,12.2
83,-122.7960,38.4010,35.0,2022-01-02,-1.9,12.2
83,-122.7960,38.4010,35.0,2022-01-03,-2.9,11.1

hawkeye,-122.9169,38.7817,344.0,2022-01-01,0.1,9.1
hawkeye,-122.9169,38.7817,344.0,2022-01-02,-0.2,10.9
hawkeye,-122.9169,38.7817,344.0,2022-01-03,0.3,9.3

USC00047109,-123.1286,39.3619,500.0,2022-01-01,-2.0,7.9
USC00047109,-123.1286,39.3619,500.0,2022-01-02,-2.8,9.1
USC00047109,-123.1286,39.3619,500.0,2022-01-03,-2.7,7.7

LYONSVALLEY,-123.0736,39.1258,852.0,2022-01-01,-1.5,3.4
LYONSVALLEY,-123.0736,39.1258,852.0,2022-01-02,-0.3,8.0
LYONSVALLEY,-123.0736,39.1258,852.0,2022-01-03,-0.9,3.9

USR0000CSRS,-122.8119,38.4786,31.0,2022-01-01,-1.2,12.2
USR0000CSRS,-122.8119,38.4786,31.0,2022-01-02,-1.9,12.3
USR0000CSRS,-122.8119,38.4786,31.0,2022-01-03,-3.0,11.2

