<<<<<<< HEAD
﻿Observed / Forecast Hydrologic Day,Date,Forecast Temperature,,,Date,Min,Max
1/5/2023 4:00,5,47.6,,,11,6.166666667,7.777777778
1/5/2023 10:00,5,45.7,,,12,9.055555556,10.16666667
1/5/2023 16:00,5,43.6,,,13,9.166666667,9.611111111
1/5/2023 22:00,5,42.4,,,14,7.611111111,9.777777778
1/6/2023 4:00,6,42.7,,,15,6.388888889,8.055555556
1/6/2023 10:00,6,43.1,,,16,6.444444444,7.5
1/6/2023 16:00,6,44.8,,,,,
1/6/2023 22:00,6,45.3,,,,,
1/7/2023 4:00,7,45.5,,,,,
1/7/2023 10:00,7,44.5,,,,,
1/7/2023 16:00,7,42.5,,,,,
1/7/2023 22:00,7,42.8,,,,,
1/8/2023 4:00,8,45.3,,,,,
1/8/2023 10:00,8,42.9,,,,,
1/8/2023 16:00,8,46.3,,,,,
1/8/2023 22:00,8,46.9,,,,,
1/9/2023 4:00,9,46.9,,,,,
1/9/2023 10:00,9,48.6,,,,,
1/9/2023 16:00,9,47.5,,,,,
1/9/2023 22:00,9,44.1,,,,,
1/10/2023 4:00,10,43.3,,,,,
1/10/2023 10:00,10,44.4,,,,,
1/10/2023 16:00,10,42.9,,,,,
1/10/2023 22:00,10,43.4,,,,,
1/11/2023 4:00,11,44.6,,,,,
1/11/2023 10:00,11,44.3,,,,,
1/11/2023 16:00,11,43.1,,,,,
1/11/2023 22:00,11,46,,,,,
1/12/2023 4:00,12,48.3,,,,,
1/12/2023 10:00,12,48.9,,,,,
1/12/2023 16:00,12,50.3,,,,,
1/12/2023 22:00,12,49.7,,,,,
1/13/2023 4:00,13,49.3,,,,,
1/13/2023 10:00,13,48.8,,,,,
1/13/2023 16:00,13,48.7,,,,,
1/13/2023 22:00,13,48.5,,,,,
1/14/2023 4:00,14,49.6,,,,,
1/14/2023 10:00,14,48.1,,,,,
1/14/2023 16:00,14,45.7,,,,,
1/14/2023 22:00,14,45.9,,,,,
1/15/2023 4:00,15,46.5,,,,,
1/15/2023 10:00,15,45,,,,,
1/15/2023 16:00,15,43.5,,,,,
1/15/2023 22:00,15,44.3,,,,,
1/16/2023 4:00,16,45.5,,,,,
1/16/2023 10:00,16,44.8,,,,,
1/16/2023 16:00,16,44.3,,,,,
1/16/2023 22:00,16,43.6,,,,,
1/17/2023 4:00,17,43.6,,,,,
1/17/2023 10:00,17,43.2,,,,,
1/17/2023 16:00,17,43.9,,,,,
1/17/2023 22:00,17,44.6,,,,,
1/18/2023 4:00,18,44.4,,,,,
1/18/2023 10:00,18,43.5,,,,,
1/18/2023 16:00,18,44.2,,,,,
1/18/2023 22:00,18,44.5,,,,,
1/19/2023 4:00,19,43.7,,,,,
1/19/2023 10:00,19,43.5,,,,,
1/19/2023 16:00,19,44.7,,,,,
1/19/2023 22:00,19,44,,,,,
1/20/2023 4:00,20,41.9,,,,,
=======
﻿"Observed / Forecast Hydrologic Day","Observed Temperature","Forecast Temperature","Average Temperature","Record Bounds","Record Min Temperature","Record Max Temperature","Freezing Point",""
"2023-03-08 04:00:00",35.5,,42,75.5,,,32,0
"2023-03-08 10:00:00",33.3,,49.6
"2023-03-08 16:00:00",40.4,,57.4
"2023-03-08 22:00:00",37.6,,46
"2023-03-09 04:00:00",33.1,,43.2,75.5,32.2,75.5
"2023-03-09 10:00:00",35.5,,50.6
"2023-03-09 16:00:00",38.3,,58.5
"2023-03-09 22:00:00",41.6,,46.8
"2023-03-10 04:00:00",46.1,,43.3,76.5,31.8,76.5
"2023-03-10 10:00:00",39.5,,51.1
"2023-03-10 16:00:00",46.1,,59.4
"2023-03-10 22:00:00",43.2,,48
"2023-03-11 04:00:00",41.7,,44.7,76.7,32.6,76.7
"2023-03-11 10:00:00",41.2,,51.3
"2023-03-11 16:00:00",43,,58.3
"2023-03-11 22:00:00",45.5,,46.6
"2023-03-12 05:00:00",45.4,,42.9,74.4,29.5,74.4
"2023-03-12 11:00:00",45.9,,50.4
"2023-03-12 17:00:00",48.2,,58.1
"2023-03-12 23:00:00",47.2,,46.7
"2023-03-13 05:00:00",47,,43.5,73.5,27.7,73.5
"2023-03-13 11:00:00",,48.1,50.9
"2023-03-13 17:00:00",,47.8,58.2
"2023-03-13 23:00:00",,48.2,46.6
"2023-03-14 05:00:00",,49.5,43.3,74.9,33.1,74.9
"2023-03-14 11:00:00",,50.1,50.1
"2023-03-14 17:00:00",,49.1,57.3
"2023-03-14 23:00:00",,47,46.5
"2023-03-15 05:00:00",,42.1,43.9,76.2,33.4,76.2
"2023-03-15 11:00:00",,41.3,50.6
"2023-03-15 17:00:00",,49,57.8
"2023-03-15 23:00:00",,46.4,46.9
"2023-03-16 05:00:00",,40.8,43.5,77.4,33.4,77.4
"2023-03-16 11:00:00",,43,51.1
"2023-03-16 17:00:00",,51.9,59
"2023-03-16 23:00:00",,48.8,46.9
"2023-03-17 05:00:00",,44.3,43.1,77.7,34.3,77.7
"2023-03-17 11:00:00",,44.2,51.4
"2023-03-17 17:00:00",,46.8,59.8
"2023-03-17 23:00:00",,46.1,47.5
"2023-03-18 05:00:00",,44.7,43.5,76.9,33.5,76.9
"2023-03-18 11:00:00",,45.8,52
"2023-03-18 17:00:00",,50.8,60
"2023-03-18 23:00:00",,48.9,48
"2023-03-19 05:00:00",,46.2,44.3,72.9,32,72.9
"2023-03-19 11:00:00",,46,52.1
"2023-03-19 17:00:00",,49.9,58.5
"2023-03-19 23:00:00",,47,46.8
"2023-03-20 05:00:00",,43.6,43.4,73.5,31.5,73.5
"2023-03-20 11:00:00",,43.3,51
"2023-03-20 17:00:00",,46.4,57.9
"2023-03-20 23:00:00",,44.9,47.1
"2023-03-21 05:00:00",,41.3,44,73.6,32.3,73.6
"2023-03-21 11:00:00",,42.8,50.9
"2023-03-21 17:00:00",,44.9,57.5
"2023-03-21 23:00:00",,43.6,46.2
"2023-03-22 05:00:00",,41.8,43.4,70.6,32.9,70.6
"2023-03-22 11:00:00",,41.8,50.8
"2023-03-22 17:00:00",,43.3,57.1
"2023-03-22 23:00:00",,42.7,46.5
"2023-03-23 05:00:00",,40.2,43.1,72.4,32.5,72.4,32
>>>>>>> b1335e219953f0b581b484861e20610356f99521
