"Name","Tmin","Tmax"
"Temp2","2022-12-01",-0.9
"Temp2","2022-12-02",-1.7
"Temp2","2022-12-03",-1.8
"Temp2","2022-12-04",-0.5
"Temp2","2022-12-05",6.3
"Temp2","2022-12-06",5.6
"Temp2","2022-12-07",0.4
"Temp2","2022-12-08",0.5
"Temp2","2022-12-09",1.5
"Temp2","2022-12-10",1.8
"Temp2","2022-12-11",5
"Temp2","2022-12-12",1.1
"Temp2","2022-12-13",-0.4
"Temp2","2022-12-14",-0.6
"Temp2","2022-12-15",-0.8
"Temp2","2022-12-16",-1.3
"Temp2","2022-12-17",-1.5
"Temp2","2022-12-18",-2.2
"Temp2","2022-12-19",-2.5
"Temp2","2022-12-20",-1.2
"Temp2","2022-12-21",4.2
"Temp2","2022-12-22",6.8
"Temp2","2022-12-23",8.2
"Temp2","2022-12-24",8.2
"Temp2","2022-12-25",9.1
"Temp2","2022-12-26",8.5
"Temp2","2022-12-27",10.1
